Reference Name	Text	Font
0432a53c	Donker.	[0, 7, 'DINRoundOffcPro']
0d7aa742	heeft alles... \n gestolen...	[0, 26, 'DINRoundOffcPro']
131d4613	Daarom ging ik op zoek naar het antwoord. Dit \n antwoord had ik echter nooit verwacht.	[0, 84, 'DINRoundOffcPro']
1efabdb8	De dromen van hem en zijn slachtoffer \n Kali Angel...	[0, 51, 'DINRoundOffcPro']
23abd67f	Hij dook ineens op met een \n bericht voor jou.	[0, 44, 'DINRoundOffcPro']
24bbc415	Kat, wie is die Alias?	[0, 22, 'DINRoundOffcPro']
2742c0be	Dr. Brahman probeerde de tijd stil te zetten \n en een wereld te creëren die nooit meer zou \n veranderen.	[0, 100, 'DINRoundOffcPro']
2cf3d885	Nee... Maar ja, ik had niet verwacht dat \n we elkaar ooit nog zouden zien...	[0, 74, 'DINRoundOffcPro']
2fa8dfc0	Kali, mijn zus... Ik keek in \n haar ziel.	[0, 39, 'DINRoundOffcPro']
353bdb8b	Weten we nog steeds niet wat \n er met Syd is gebeurd?	[0, 51, 'DINRoundOffcPro']
3659aaa8	De tijd...	[0, 10, 'DINRoundOffcPro']
3e83dd91	Het leven zit vol verrassingen.	[0, 31, 'DINRoundOffcPro']
504fceb6	Maar ik ben gewoon Cecie. Ik kon \n niet zijn wie ze wilde dat ik was.	[0, 67, 'DINRoundOffcPro']
50a0dfbb	Ze wilde dat we allebei Angels \n zouden zijn.	[0, 43, 'DINRoundOffcPro']
5997d0bc	En toen ze dat doorhad, ging ze \n eraan kapot.	[0, 44, 'DINRoundOffcPro']
60489ba4	Dit was de enige manier om \n je ooit nog te zien...	[0, 49, 'DINRoundOffcPro']
62dfd2c2	De dreiging is weg, maar de vragen blijven...	[0, 45, 'DINRoundOffcPro']
69909daa	Ik... zie...	[0, 12, 'DINRoundOffcPro']
6a07442d	Ik kon Lisa geen antwoord geven. Ik piekerde me suf \n over het mysterieuze bericht van Alias.	[0, 91, 'DINRoundOffcPro']
6b27d5c8	"Gravity Queen redt de stad opnieuw."	[0, 37, 'DINRoundOffcPro']
72d89fb0	!	[0, 1, 'DINRoundOffcPro']
7ca7eb3e	"Hekseville en Jirga Para Lhao sluiten \n niet-aanvalsverdrag en \n handelsovereenkomsten."	[0, 85, 'DINRoundOffcPro']
85efed44	"Onderzoek naar verleden \n van burgemeester Brahman."	[0, 51, 'DINRoundOffcPro']
a696dc3a	Lisa?	[0, 5, 'DINRoundOffcPro']
adccc79b	Daarna liet hij ons de weg \n door het riftvlak zien en \n bracht ons hierheen...	[0, 75, 'DINRoundOffcPro']
c794e017	Ja... Ongelooflijk dat we nu allebei \n hier in Hekseville zijn.	[0, 61, 'DINRoundOffcPro']
cec4c796	Hij wilde dat we jou redden. \n Jij zou de sleutel zijn.	[0, 53, 'DINRoundOffcPro']
e83bcf0d	Huh?	[0, 4, 'DINRoundOffcPro']
ep20_00100	Vernietig alle Bubs	[0, 19, 'DINRoundOffcPro']
ep20_00100c_010	Prachtig... Deze kristallen \n houden één moment tot in \n de eeuwigheid vast.	[0, 72, 'DINRoundOffcPro']
ep20_00100c_020	De tijd zal geen vat op ons \n hebben.	[0, 35, 'DINRoundOffcPro']
ep20_00100c_030	*zucht* De mooiste bloemen \n veroorzaken de vreselijkste \n ziekten.	[0, 63, 'DINRoundOffcPro']
ep20_00100c_040	Maak je geen \n zorgen, dochter.	[0, 29, 'DINRoundOffcPro']
ep20_00100c_050	Je \n beschermengelen \n zullen je redden.	[0, 36, 'DINRoundOffcPro']
ep20_00101	We moeten iets aan dat veld doen!	[0, 33, 'DINRoundOffcPro']
ep20_00102	Yunica: \n Sea Slug, formatie vasthouden!	[0, 8, 'DINRoundOffcPro'], [8, 38, 'DINRoundOffcPro']
