Reference Name	Text	Font
ep25_00100	Neutralise Elektricitie	[0, 23, 'DINRoundOffcPro']
ep25_00100c_010	L'heure est venue \n pour moi de faire \n mes adieux...	[0, 49, 'DINRoundOffcPro']
ep25_00100c_020	Quand on intervient dans \n les affaires du monde, \n il y a un prix à payer, \n même pour les dieux.	[0, 92, 'DINRoundOffcPro']
ep25_00100c_030	Vous avez bien \n agi, Créatrice.	[0, 30, 'DINRoundOffcPro']
ep25_00100c_040	J'imagine que c'est ce \n qui arrive aux anciens \n dieux, pas vrai ?	[0, 63, 'DINRoundOffcPro']
ep25_00100c_050	Raven...	[0, 8, 'DINRoundOffcPro']
ep25_00100c_060	Hoooo, trop tard.	[0, 17, 'DINRoundOffcPro']
ep25_00100c_070	Mais après tout, tu \n arrives toujours \n trop tard.	[0, 47, 'DINRoundOffcPro']
ep25_00100c_080	Hahaha !	[0, 8, 'DINRoundOffcPro']
ep25_00100c_085	Plus rien ne peut \n m'arrêter maintenant !	[0, 40, 'DINRoundOffcPro']
ep25_00100c_090	...	[0, 3, 'DINRoundOffcPro']
ep25_00102	JE T'ARRÊTERAI !	[0, 16, 'DINRoundOffcPro']
ep25_00105	Je dois me venger de ce qu'elle a fait \n à Raven, et à tous les autres !	[0, 70, 'DINRoundOffcPro']
ep25_00310k_010	Tu as fait de ton \n mieux, mais il est \n temps d'accepter \n ta défaite.	[0, 65, 'DINRoundOffcPro']
ep25_00310k_020	Tu ne comprendras pas, \n mais je veux essayer \n de t'expliquer la \n raison de tout ça...	[0, 82, 'DINRoundOffcPro']
ep25_00310k_030	J'ai longtemps cherché \n le moyen de réparer \n ce monde...	[0, 54, 'DINRoundOffcPro']
ep25_00310k_040	Jusqu'à ce que les \n ténèbres me murmurent \n la solution dans un \n rêve...	[0, 68, 'DINRoundOffcPro']
ep25_00310k_050	Elles m'ont dit de \n réveiller la femme \n dans le Palais de \n cristal.	[0, 64, 'DINRoundOffcPro']
ep25_00310k_060	C'est là que j'ai \n découvert qui était \n Elektricitie et pourquoi \n elle était emprisonnée.	[0, 86, 'DINRoundOffcPro']
ep25_00310k_070	Nos prédécesseurs \n l'ont emprisonnée. Ils \n la craignaient, elle \n et ses pouvoirs.	[0, 78, 'DINRoundOffcPro']
ep25_00310k_080	Mais quel \n terrible gâchis.	[0, 26, 'DINRoundOffcPro']
ep25_00310k_090	Pourquoi se priver \n d'un pouvoir aussi \n immense...	[0, 48, 'DINRoundOffcPro']
ep25_00310k_100	Quand on peut l'utiliser \n à son profit ?	[0, 39, 'DINRoundOffcPro']
ep25_00310k_103	Je sais comment nous \n pouvons tout arranger.	[0, 43, 'DINRoundOffcPro']
ep25_00310k_106	La voix dans mon rêve \n m'a dit la vérité : tant \n que cette ville sera là, \n Eto ne sera pas libre !	[0, 95, 'DINRoundOffcPro']
ep25_00310k_110	Maintenant, on dirait \n que tes pouvoirs \n sont totalement \n épuisés, tatie...	[0, 72, 'DINRoundOffcPro']
ep25_00310k_120	Malheureusement pour \n toi, le pouvoir \n d'Elektricitie est \n sans limite !	[0, 69, 'DINRoundOffcPro']
ep25_00320k_010	Cette voix... Cyanea ?	[0, 22, 'DINRoundOffcPro']
ep25_00320k_020	Reine de la gravité, ne \n te laisse pas abuser \n par la fausse lumière.	[0, 67, 'DINRoundOffcPro']
ep25_00320k_030	Fausse lumière ?	[0, 16, 'DINRoundOffcPro']
ep25_00320k_040	Je te donne le pouvoir \n de voir la vérité telle \n qu'elle est réellement.	[0, 70, 'DINRoundOffcPro']
ep25_00320k_050	En tant que Gardienne \n des rêves, ce sera mon \n ultime intervention...	[0, 67, 'DINRoundOffcPro']
ep25_00320k_060	C'est à toi de protéger \n le monde, maintenant.	[0, 45, 'DINRoundOffcPro']
ep25_00320k_070	Cyanea ?	[0, 8, 'DINRoundOffcPro']
ep25_00320k_080	Kat, j'ai fait un \n rêve amusant.	[0, 31, 'DINRoundOffcPro']
ep25_00320k_090	Quelqu'un m'a dit \n que je devais tirer \n ma révérence...	[0, 53, 'DINRoundOffcPro']
ep25_00320k_100	Tu me manqueras, Kat. \n Nous nous reverrons \n peut-être un jour.	[0, 60, 'DINRoundOffcPro']
ep25_00320k_110	Adieu.	[0, 6, 'DINRoundOffcPro']
ep25_00510k_010	Non, c'est impossible ! \n Elektricitie est \n toute-puissante !	[0, 58, 'DINRoundOffcPro']
ep25_00510k_020	Quelle importance \n si une ou deux \n villes disparaissent...	[0, 56, 'DINRoundOffcPro']
ep25_00510k_030	Avec son pouvoir, \n j'aurais pu rebâtir \n le monde !	[0, 48, 'DINRoundOffcPro']
ep25_00510k_040	Tu ne comprends pas...	[0, 22, 'DINRoundOffcPro']
ep25_00510k_050	Les habitants de cette \n ville sont des êtres \n vivants !	[0, 53, 'DINRoundOffcPro']
ep25_00510k_060	Des gens plein d'espoir. \n Qui avaient des rêves.	[0, 47, 'DINRoundOffcPro']
ep25_00510k_070	Qui se préoccupe de \n ce qu'ils pensent ? Ils \n sont trop nombreux \n de toute façon !	[0, 79, 'DINRoundOffcPro']
ep25_00510k_080	Mon monde nouveau \n n'aura besoin que \n de quelques élus !	[0, 54, 'DINRoundOffcPro']
ep25_01000	Neutralise Elektricitie	[0, 23, 'DINRoundOffcPro']
ep25_01001	Encore des clones... Comment esquiver toutes leurs attaques ?	[0, 61, 'DINRoundOffcPro']
ep25_01002	C'est pas bon...	[0, 16, 'DINRoundOffcPro']
ep25_01003	Voix mystérieuse : \n ... at... Kat !	[0, 19, 'DINRoundOffcPro'], [19, 34, 'DINRoundOffcPro']
ep25_01004	Hein ?! Ça ne m'a pas touché...	[0, 31, 'DINRoundOffcPro']
ep25_01005	Cette énergie... Elle semble d'abord frapper les gros objets.	[0, 61, 'DINRoundOffcPro']
ep25_01006	C'est ça ! Maintenant, je peux esquiver ces attaques.	[0, 53, 'DINRoundOffcPro']
ep25_01009	Je dois vite filer d'ici !	[0, 26, 'DINRoundOffcPro']
ep25_01011	Esquive !	[0, 9, 'DINRoundOffcPro']
ep25_01012	Je peux pas abandonner la ville...	[0, 34, 'DINRoundOffcPro']
ep25_02000	Neutralise la véritable \n Elektricitie	[0, 36, 'DINRoundOffcPro']
ep25_02001	Je vois la vraie maintenant !	[0, 29, 'DINRoundOffcPro']
ep25_02002	Les clones ont presque tous disparu... C'est le moment.	[0, 55, 'DINRoundOffcPro']
ep25_02003	Je ne peux pas partir !	[0, 23, 'DINRoundOffcPro']
