Reference Name	Text	Font
dm05_00010	Gade: \n Como é que cheguei até aqui?	[0, 6, 'DINRoundOffcPro'], [6, 34, 'DINRoundOffcPro']
dm05_00015	Cyanea: \n Estou a ter dificuldades em manter a minha forma!	[0, 8, 'DINRoundOffcPro'], [8, 57, 'DINRoundOffcPro']
dm05_00100	Recolhe as memórias perdidas	[0, 28, 'DINRoundOffcPro']
dm05_00100c_010	...	[0, 3, 'DINRoundOffcPro']
dm05_00100c_020	Bem-vinda de volta, \n Raven. \n Ainda bem que estás bem.	[0, 51, 'DINRoundOffcPro']
dm05_00100c_030	Por pouco, hein? Quase que \n ficavas ali presa.	[0, 45, 'DINRoundOffcPro']
dm05_00100c_040	Parece que \n ocorreu um \n imprevisto.	[0, 33, 'DINRoundOffcPro']
dm05_00100c_050	Mas não há tempo \n pare nos preocuparmos \n com isso agora.	[0, 54, 'DINRoundOffcPro']
dm05_00100c_060	Argh!	[0, 5, 'DINRoundOffcPro']
dm05_00100c_070	Agora que já tens os \n elementos da Luz e da \n Escuridão, podemos \n voltar para a Arca e...	[0, 85, 'DINRoundOffcPro']
dm05_00100c_080	Aah!	[0, 4, 'DINRoundOffcPro']
dm05_00100c_090	Desapareceram.	[0, 14, 'DINRoundOffcPro']
dm05_00100c_100	Não pode ser! \n O que é que \n fizeste?	[0, 34, 'DINRoundOffcPro']
dm05_00100c_110	Algo está errado no \n sonho...	[0, 28, 'DINRoundOffcPro']
dm05_00100c_120	Hum?	[0, 4, 'DINRoundOffcPro']
dm05_00100c_130	Hic!	[0, 4, 'DINRoundOffcPro']
dm05_00100c_140	Argh.	[0, 5, 'DINRoundOffcPro']
dm05_00100c_150	Ugh.	[0, 4, 'DINRoundOffcPro']
dm05_00100c_160	Isto não foi \n real...	[0, 20, 'DINRoundOffcPro']
dm05_00100c_170	Fomos enganadas.	[0, 16, 'DINRoundOffcPro']
dm05_00100c_180	E o poder dos \n Criadores acabou \n de ser roubado.	[0, 46, 'DINRoundOffcPro']
dm05_00100c_190	Então vou ter \n de o \n recuperar.	[0, 29, 'DINRoundOffcPro']
dm05_00100c_200	Não vou abandonar \n as crianças!	[0, 30, 'DINRoundOffcPro']
dm05_00101	Ali está um das minhas memórias.	[0, 32, 'DINRoundOffcPro']
dm05_00102	Vou ter a vida facilitada para recuperar as minhas memórias.	[0, 60, 'DINRoundOffcPro']
dm05_00103	Se as quiser, vou ter de lutar por elas.	[0, 40, 'DINRoundOffcPro']
dm05_00104	Lembro-me de tudo.	[0, 18, 'DINRoundOffcPro']
dm05_00105	Estou a começar a lembrar-me...	[0, 31, 'DINRoundOffcPro']
dm05_00106	Esta é a minha oportunidade de encontrar as minhas memórias.	[0, 60, 'DINRoundOffcPro']
dm05_00107	Não tenho alternativa senão lutar.	[0, 34, 'DINRoundOffcPro']
