Reference Name	Text	Font
dm02_00010	Wo bin ich?	[0, 11, 'DINRoundOffcPro']
dm02_00020	War das ... ein Monster?	[0, 24, 'DINRoundOffcPro']
dm02_00100	???: \n Raven ...	[0, 5, 'DINRoundOffcPro'], [5, 14, 'DINRoundOffcPro']
dm02_00101	Finde deine \n verlorenen Erinnerungen	[0, 35, 'DINRoundOffcPro']
dm02_00102	Zaza hat mir das Schaukeln beigebracht, obwohl ich Angst hatte.	[0, 63, 'DINRoundOffcPro']
dm02_00103	Zaza hat mir immer so viel beigebracht.	[0, 39, 'DINRoundOffcPro']
dm02_00104	Ich war ein Waisenkind.	[0, 23, 'DINRoundOffcPro']
dm02_00105	Aber Mama und Papa haben mich gefunden und mich als Zazas \n Schwester aufgezogen.	[0, 79, 'DINRoundOffcPro']
dm02_00106	Zaza schenkte mir seinen wertvollsten Besitz, einen Teddybär.	[0, 61, 'DINRoundOffcPro']
dm02_00107	Als ich meinen Teddy Zaza nannte, musste er lachen.	[0, 51, 'DINRoundOffcPro']
dm02_00108	Ich liebte es, ohne Schuhe herumzutollen.	[0, 41, 'DINRoundOffcPro']
dm02_00109	Zaza musste mich immer jagen und dafür sorgen, \n dass ich sie anzog.	[0, 66, 'DINRoundOffcPro']
dm02_00110	Zaza war schon als Kind ein toller Künstler.	[0, 44, 'DINRoundOffcPro']
dm02_00110k_010	Wer ist Raven?	[0, 14, 'DINRoundOffcPro']
dm02_00110k_020	Mein Fehler. \n Dein Name ist \n Sachya, nicht wahr?	[0, 46, 'DINRoundOffcPro']
dm02_00110k_030	Ja ... \n Wer bist du?	[0, 19, 'DINRoundOffcPro']
dm02_00110k_040	Ich bin Bit. \n Hör mir jetzt \n aufmerksam zu, \n Sachya.	[0, 49, 'DINRoundOffcPro']
dm02_00110k_050	Etwas sehr Wichtiges \n ist kaputt und \n es muss wieder \n zusammengesetzt werden.	[0, 74, 'DINRoundOffcPro']
dm02_00110k_060	Du meinst wie \n ein Puzzle?	[0, 25, 'DINRoundOffcPro']
dm02_00110k_070	Ja, so ähnlich. \n Aber die Teile bestehen \n aus dir.	[0, 48, 'DINRoundOffcPro']
dm02_00110k_080	Aus mir? \n Aber ich bin nicht \n kaputt.	[0, 35, 'DINRoundOffcPro']
dm02_00110k_090	Okay, vergiss das \n mit dem Puzzle.	[0, 33, 'DINRoundOffcPro']
dm02_00110k_100	Dies ist ein Ort, an dem \n alle Dinge, die \n vergessen werden müssen, \n gelagert werden.	[0, 82, 'DINRoundOffcPro']
dm02_00110k_102	Nach einiger Zeit kommen \n die Sammler und löschen \n diese Dinge aus, um die \n Welt in Gang zu halten.	[0, 96, 'DINRoundOffcPro']
dm02_00110k_105	Du musst einige sehr \n wichtige Informationen \n retten, bevor die \n Sammler sie löschen.	[0, 82, 'DINRoundOffcPro']
dm02_00110k_107	Ich verstehe nicht ...	[0, 22, 'DINRoundOffcPro']
dm02_00110k_110	Deine Erinnerungen sind \n an diesem Ort \n verstreut.	[0, 48, 'DINRoundOffcPro']
dm02_00110k_120	Erinnerst du dich an das \n Monster, das du eben \n gesehen hast?	[0, 59, 'DINRoundOffcPro']
dm02_00110k_123	Es sammelt Dinge, \n die nicht in diese Welt \n gehören.	[0, 50, 'DINRoundOffcPro']
dm02_00110k_126	Es wird deine \n Erinnerungen fressen.	[0, 35, 'DINRoundOffcPro']
dm02_00110k_130	Du musst dich daran \n erinnern, wer du warst, \n bevor das Monster \n das tut.	[0, 70, 'DINRoundOffcPro']
dm02_00110k_140	Es gibt eine spezielle \n Erinnerung, eine ganz \n besondere – du \n musst sie finden.	[0, 77, 'DINRoundOffcPro']
dm02_00110k_150	Eine besondere \n Erinnerung?	[0, 26, 'DINRoundOffcPro']
dm02_00110k_160	Erinnere dich daran, \n wer du bist, Sachya.	[0, 41, 'DINRoundOffcPro']
dm02_00110k_170	Sobald du dies tust, \n kannst du diesen Ort \n verlassen.	[0, 52, 'DINRoundOffcPro']
