Reference Name	Text	Font
dm04_00100	这是什么地方？	[0, 7, 'DFHEI5-V-SONY']
dm04_00101	首先，我得召唤光明元素。	[0, 12, 'DFHEI5-V-SONY']
dm04_00110k_010	真高兴看见 \n 你平安抵达。 \n 欢迎来到光明 \n 与黑暗的驻地。	[0, 27, 'DFHEI5-V-SONY']
dm04_00110k_020	怎么了？ \n 你在这里干什么？	[0, 13, 'DFHEI5-V-SONY']
dm04_00110k_025	我是一个造物主， \n 不同世界之间 \n 通路的守护者。	[0, 23, 'DFHEI5-V-SONY']
dm04_00110k_030	我们需要怎么做 \n 才能让这里 \n 恢复正常。	[0, 19, 'DFHEI5-V-SONY']
dm04_00110k_040	仔细听好， \n 这事不会 \n 那么简单。	[0, 16, 'DFHEI5-V-SONY']
dm04_00110k_050	你需要唤醒 \n 光明和黑暗， \n 强迫他们 \n 实体化。	[0, 22, 'DFHEI5-V-SONY']
dm04_00110k_060	从召唤 \n 光明元素 \n 开始。	[0, 12, 'DFHEI5-V-SONY']
dm04_00110k_070	为此， \n 得保护 \n 光之奈维...	[0, 15, 'DFHEI5-V-SONY']
dm04_00110k_080	并击败 \n 暗之奈维。	[0, 9, 'DFHEI5-V-SONY']
dm04_00110k_083	那样，你就 \n 可以把它们 \n 控制的区域 \n 转交给光明。	[0, 24, 'DFHEI5-V-SONY']
dm04_00110k_086	等你全部 \n 转换完， \n 光明元素 \n 就会实体化。	[0, 21, 'DFHEI5-V-SONY']
dm04_00110k_090	所以... \n 击败所有的 \n 暗之奈维？	[0, 17, 'DFHEI5-V-SONY']
dm04_00110k_100	嗯， \n 简单的说 \n 是那样。	[0, 12, 'DFHEI5-V-SONY']
dm04_00110k_105	你早该跟我说。	[0, 7, 'DFHEI5-V-SONY']
dm04_00110k_110	那并不容易。	[0, 6, 'DFHEI5-V-SONY']
dm04_00110k_120	但你是唯一 \n 可以做到 \n 的人。	[0, 14, 'DFHEI5-V-SONY']
