Reference Name	Text	Font
5ffd194d	Months have passed since bringing the children from \n Boutoume back home to Hekseville, but their passage \n through the rift plane that brought us back left them \n in a hibernation state.	[0, 181, 'DINRoundOffcPro']
80f51948	Hold on Zaza. I'll bring you home, whatever it takes.	[0, 53, 'DINRoundOffcPro']
a6f8194a	A scientist said he had the solution for waking them up, \n and he needed my and Kat's help to pull off the experiment.	[0, 116, 'DINRoundOffcPro']
dm01_00100m_010	I woke from a very strange dream this morning. \n The only thing I remember is a question:	[0, 87, 'DINRoundOffcPro']
dm01_00100m_020	What would you sacrifice to save the children in the Ark?	[0, 57, 'DINRoundOffcPro']
dm01_00100m_030	Zaza, I'm scared.	[0, 17, 'DINRoundOffcPro']
dm01_00100m_040	Sachya, it's okay, just stay close to me.	[0, 41, 'DINRoundOffcPro']
dm01_00100m_050	Stop! Don't make me call the police!	[0, 36, 'DINRoundOffcPro']
dm01_00100m_060	Try it, they can't help you.	[0, 28, 'DINRoundOffcPro']
dm01_00100m_070	St-Stay back!	[0, 13, 'DINRoundOffcPro']
dm01_00100m_080	Oww!	[0, 4, 'DINRoundOffcPro']
dm01_00100m_090	Fun's over.	[0, 11, 'DINRoundOffcPro']
dm01_00100m_100	It's that creepy Gravity Shifter!	[0, 33, 'DINRoundOffcPro']
dm01_00103	Thug: \n N-Nevi!	[0, 6, 'DINRoundOffcPro'], [6, 13, 'DINRoundOffcPro']
dm01_00113	I need to get them away from the energy collector.	[0, 50, 'DINRoundOffcPro']
dm01_00114	Back away from that machine. Now!	[0, 33, 'DINRoundOffcPro']
dm01_00115	Defeat the Thugs	[0, 16, 'DINRoundOffcPro']
dm01_00116	I won't let you or anyone else stop the experiment!	[0, 51, 'DINRoundOffcPro']
dm01_00117	Now to take out the Nevi...	[0, 27, 'DINRoundOffcPro']
dm01_00118	Thug: \n We'll do whatever we like!	[0, 6, 'DINRoundOffcPro'], [6, 32, 'DINRoundOffcPro']
dm01_00119	Thug: \n Yeah, you can't tell us what to do!	[0, 6, 'DINRoundOffcPro'], [6, 41, 'DINRoundOffcPro']
dm01_00120k_010	This thing is supposed \n to draw in Nevi... \n And it's my job to \n take 'em out.	[0, 74, 'DINRoundOffcPro']
dm01_00120k_020	Once we trap enough \n of them in all of the \n machines...	[0, 53, 'DINRoundOffcPro']
dm01_00120k_030	We'll have the energy \n we need to start \n the experiment.	[0, 54, 'DINRoundOffcPro']
dm01_00121	Nevi. Just like they said.	[0, 26, 'DINRoundOffcPro']
dm01_00122	The machine's energy tank should be full.	[0, 41, 'DINRoundOffcPro']
dm01_00123	I need to grab the energy tank from the machine.	[0, 48, 'DINRoundOffcPro']
dm01_00125	One energy tank down.	[0, 21, 'DINRoundOffcPro']
dm01_00127	With enough energy, they can wake the children in the Ark.	[0, 58, 'DINRoundOffcPro']
dm01_00128	Zaza... You're coming home.	[0, 27, 'DINRoundOffcPro']
dm01_00130	Thug: \n You're the best the city could get to help 'em?	[0, 6, 'DINRoundOffcPro'], [6, 53, 'DINRoundOffcPro']
dm01_00130k_010	Raven, I just got \n a report that some \n thugs were over \n at the first site.	[0, 71, 'DINRoundOffcPro']
dm01_00130k_020	They've been taken \n care of.	[0, 27, 'DINRoundOffcPro']
dm01_00130k_030	Th-They have? \n Well that's \n good news!	[0, 36, 'DINRoundOffcPro']
dm01_00130k_035	Can you believe 'em!?	[0, 21, 'DINRoundOffcPro']
dm01_00130k_040	What kind of heartless \n criminals would get in \n the way of saving those \n children in the Ark?	[0, 90, 'DINRoundOffcPro']
dm01_00130k_050	Who knows, but I \n won't let them or \n anyone else stop \n the experiment.	[0, 67, 'DINRoundOffcPro']
dm01_00130k_055	Glad to hear it!	[0, 16, 'DINRoundOffcPro']
dm01_00130k_060	I need to get to \n the next machine.	[0, 34, 'DINRoundOffcPro']
dm01_00130k_070	Yes ma'am! I'll tell \n the others to keep \n up their watch.	[0, 55, 'DINRoundOffcPro']
dm01_00130k_075	We really couldn't \n do this without \n you and the other \n Shifter.	[0, 61, 'DINRoundOffcPro']
dm01_00130k_080	We'll have all the \n energy we need \n in no time with \n your help!	[0, 60, 'DINRoundOffcPro']
dm01_00131	Thug: \n Wh-What's that!?	[0, 6, 'DINRoundOffcPro'], [6, 22, 'DINRoundOffcPro']
dm01_00132	Thug: \n Nevi! Run!	[0, 6, 'DINRoundOffcPro'], [6, 16, 'DINRoundOffcPro']
dm01_00310k_010	Zaza!?	[0, 6, 'DINRoundOffcPro']
dm01_00310k_020	Sachya? \n Sachya, where are you!?	[0, 31, 'DINRoundOffcPro']
dm01_00310k_030	I must be seeing things. \n How could Zaza be here?	[0, 48, 'DINRoundOffcPro']
dm01_00310k_040	This is all my fault. \n I should've tried \n harder. I was \n supposed to protect her.	[0, 78, 'DINRoundOffcPro']
dm01_00310k_050	No, it's my fault-	[0, 18, 'DINRoundOffcPro']
dm01_00310k_060	I've gotta find her. \n Sachya! Sachya!	[0, 36, 'DINRoundOffcPro']
dm01_00310k_070	Zaza and the others \n must be trapped in \n a nightmare.	[0, 51, 'DINRoundOffcPro']
