Reference Name	Text	Font
00468e2b	我喜歡的，我討厭的	[0, 9, 'DFT_YY6']
0063c269	出門去	[0, 3, 'DFT_YY6']
006d2943	瓦斯罐	[0, 3, 'DFT_YY6']
00724e9d	邊緣者的真心話 ２	[0, 9, 'DFT_YY6']
008f8d2f	護符：「漁人的食譜」	[0, 10, 'DFT_YY6']
0095956c	選擇三個要轉移到合成護符上的技能。	[0, 17, 'DFT_YY6']
01059121	第7層	[0, 3, 'DFT_YY6']
010e2838	蘋果	[0, 2, 'DFT_YY6']
0123a81a	繼續	[0, 2, 'DFT_YY6']
01278b62	一名送貨員需要幫助， \n 請將報紙發給市內的讀者們！	[0, 24, 'DFT_YY6']
0128e3fd	白色凱特	[0, 4, 'DFT_YY6']
013b274b	特殊拍照道具3號	[0, 8, 'DFT_YY6']
0140296b	護符	[0, 2, 'DFT_YY6']
014f3085	已獲得「PSO2・藍色貨櫃」！ \n 按下l並進入拍照模式即可使用。	[0, 18, 'DFT_YY6'], [18, 19, 'Gravity2_Gaiji'], [19, 31, 'DFT_YY6']
016557df	霓虹街「普雷茱」 \n 站在阿雷卡畢斯學園附近橋上的女子。	[0, 26, 'DFT_YY6']
01659d38	恐懼的代價	[0, 5, 'DFT_YY6']
01838fa6	大敵當前	[0, 4, 'DFT_YY6']
01862e67	已獲得服裝造型 \n 「尼爾：自動人形 無2B頭部裝飾 」 \n 按下 l 進入拍照模式即可使用。	[0, 30, 'DFT_YY6'], [30, 31, 'Gravity2_Gaiji'], [31, 43, 'DFT_YY6']
0187d605	第14層	[0, 4, 'DFT_YY6']
01901083	放鬆	[0, 2, 'DFT_YY6']
01a0418a	已獲得「特殊拍照道具9號」！ \n 按下 l 進入拍照模式即可使用。	[0, 18, 'DFT_YY6'], [18, 19, 'Gravity2_Gaiji'], [19, 31, 'DFT_YY6']
01b370e8	第7層	[0, 3, 'DFT_YY6']
01d9ea5f	特殊拍照道具4號	[0, 8, 'DFT_YY6']
01f59ed8	e 篩選技能    c 切換最愛    d 刪除選單    f 護符目錄    p 完成	[0, 1, 'Gravity2_Gaiji'], [1, 10, 'DFT_YY6'], [10, 11, 'Gravity2_Gaiji'], [11, 20, 'DFT_YY6'], [20, 21, 'Gravity2_Gaiji'], [21, 30, 'DFT_YY6'], [30, 31, 'Gravity2_Gaiji'], [31, 40, 'DFT_YY6'], [40, 41, 'Gravity2_Gaiji'], [41, 44, 'DFT_YY6']
0201fab5	試驗與通道	[0, 5, 'DFT_YY6']
0203792f	要求個人資料	[0, 6, 'DFT_YY6']
0228f65e	霓虹街「普雷茱」 \n 醉象之門	[0, 13, 'DFT_YY6']
022a77f4	第41層	[0, 4, 'DFT_YY6']
02376368	新公告文字	[0, 5, 'DFT_YY6']
023d97c4	第34層	[0, 4, 'DFT_YY6']
025df376	已偵測到異常重力現象	[0, 10, 'DFT_YY6']
028ea8c9	第81層	[0, 4, 'DFT_YY6']
029554ab	強化組合技， \n 或是特定模式的踢擊。	[0, 17, 'DFT_YY6']
02c34025	故事進度	[0, 4, 'DFT_YY6']
02deb3aa	重力抓取戰	[0, 5, 'DFT_YY6']
030aeb58	VS	[0, 2, 'GillSansStd-UltraBold']
032633fe	柔和	[0, 2, 'DFT_YY6']
0328a235	水中漣漪	[0, 4, 'DFT_YY6']
039e4f64	耀眼的貝石	[0, 5, 'DFT_YY6']
03c8d584	是	[0, 1, 'DFT_YY6']
03d27169	第20層	[0, 4, 'DFT_YY6']
03db95b5	迷糊保鏢	[0, 4, 'DFT_YY6']
03e34b71	女性肖像畫5	[0, 6, 'DFT_YY6']
03f69d6b	蘇恩宅邸	[0, 4, 'DFT_YY6']
03f779e5	木星模式	[0, 4, 'DFT_YY6']
0407e53f	礦藏豐富	[0, 4, 'DFT_YY6']
045bd811	黑奇薩威景觀5	[0, 7, 'DFT_YY6']
046f618d	滑行競賽•一	[0, 6, 'DFT_YY6']
0475b6f6	奇怪的組合	[0, 5, 'DFT_YY6']
049a3a01	服裝	[0, 2, 'DFT_YY6']
04c04344	採掘海溝  遇難消息	[0, 10, 'DFT_YY6']
04c2a1a5	未流之淚	[0, 4, 'DFT_YY6']
04c49b73	重力控制主塔遺跡	[0, 8, 'DFT_YY6']
04fcc698	改變態度	[0, 4, 'DFT_YY6']
05429320	第18層	[0, 4, 'DFT_YY6']
05518e32	登天之屋	[0, 4, 'DFT_YY6']
0557c251	女學生的謠傳	[0, 6, 'DFT_YY6']
056ec270	漫遊的藝術	[0, 5, 'DFT_YY6']
0578294a	大盆栽	[0, 3, 'DFT_YY6']
0583fb22	刪除	[0, 2, 'DFT_YY6']
05a09573	放上五個護符。 \n 它們會被回收而生成一個新的護符。	[0, 24, 'DFT_YY6']
05afdc2d	老諾華	[0, 3, 'DFT_YY6']
05c33066	已取得「重力操控者1.0」！ \n 按下l並進入拍照模式即可使用。	[0, 17, 'DFT_YY6'], [17, 18, 'Gravity2_Gaiji'], [18, 30, 'DFT_YY6']
05d1d6c6	動作靈敏度	[0, 5, 'DFT_YY6']
05f072e7	第18層	[0, 4, 'DFT_YY6']
0625ecdf	第3集	[0, 3, 'DFT_R5']
062988be	第52層	[0, 4, 'DFT_YY6']
