Reference Name	Text	Font
00468e2b	O Que Eu Gosto, O Que Eu Odeio	[0, 30, 'DINRoundOffcPro']
0063c269	Indo para a Cidade	[0, 18, 'GillSansStd-UltraBold']
006d2943	Lata de combustível	[0, 19, 'DINRoundOffcPro']
00724e9d	Por água abaixo	[0, 15, 'DINRoundOffcPro']
008f8d2f	Talismã: "Receita de pescador"	[0, 30, 'DINRoundOffcPro']
0095956c	Escolha três habilidades que deseja \n levar para o talismã fundido.	[0, 65, 'DINRoundOffcPro']
01059121	7ª camada	[0, 9, 'DINRoundOffcPro']
010e2838	Vermelha	[0, 8, 'DINRoundOffcPro']
0123a81a	CONTINUAR	[0, 9, 'GillSansStd-ExtraBold']
01278b62	Um entregador precisa de ajuda \n para distribuir jornais na cidade.	[0, 65, 'DINRoundOffcPro']
0128e3fd	Kat Branca	[0, 10, 'DINRoundOffcPro']
013b274b	Item de foto especial 3	[0, 23, 'DINRoundOffcPro']
0140296b	Talismãs	[0, 8, 'GillSansStd-UltraBold']
014f3085	Você adquiriu o "Contêiner azul do PSO2"! \n Use-o pressionando l e entrando no Modo de Foto.	[0, 61, 'DINRoundOffcPro'], [61, 62, 'Gravity2_Gaiji'], [62, 90, 'DINRoundOffcPro']
016557df	Zona de entretenimento de "Pleajeune" \n Uma mulher parada na ponte perto da Academia Arquebus.	[0, 92, 'DINRoundOffcPro']
01659d38	Os Frutos do Medo	[0, 17, 'DINRoundOffcPro']
01838fa6	A Multidão	[0, 10, 'DINRoundOffcPro']
01862e67	Adquiriu "NieR: Automata 2B sem Viseira"! \n Use-a pressionando l e entrando no Modo de Foto.	[0, 61, 'DINRoundOffcPro'], [61, 62, 'Gravity2_Gaiji'], [62, 90, 'DINRoundOffcPro']
0187d605	14ª camada	[0, 10, 'GillSansStd-UltraBold']
01901083	Relaxar	[0, 7, 'DINRoundOffcPro']
01a0418a	Você adquiriu o "Item de foto especial 9"! \n Para usá-lo, pressione l e entre no Modo de Foto.	[0, 66, 'DINRoundOffcPro'], [66, 67, 'Gravity2_Gaiji'], [67, 92, 'DINRoundOffcPro']
01b370e8	7ª camada	[0, 9, 'DINRoundOffcPro']
01d9ea5f	Item de foto especial 3	[0, 23, 'DINRoundOffcPro']
01f59ed8	e Filtrar habilidades    c Alternar Favoritos    d Menu de Exclusão    f Inventário: talismãs   p Concluir	[0, 1, 'Gravity2_Gaiji'], [1, 25, 'DINRoundOffcPro'], [25, 26, 'Gravity2_Gaiji'], [26, 49, 'DINRoundOffcPro'], [49, 50, 'Gravity2_Gaiji'], [50, 71, 'DINRoundOffcPro'], [71, 72, 'Gravity2_Gaiji'], [72, 96, 'DINRoundOffcPro'], [96, 97, 'Gravity2_Gaiji'], [97, 106, 'DINRoundOffcPro']
0201fab5	Prova e Passagem	[0, 16, 'DINRoundOffcPro']
0203792f	Solicitação de informação pessoal	[0, 33, 'DINRoundOffcPro']
0228f65e	Zona de entretenimento de "Pleajeune" \n Portão do Elefante Bêbado	[0, 63, 'DINRoundOffcPro']
022a77f4	41ª camada	[0, 10, 'DINRoundOffcPro']
02376368	Texto de novo anúncio	[0, 21, 'DINRoundOffcPro']
023d97c4	34ª camada	[0, 10, 'GillSansStd-UltraBold']
025df376	Estranhos fenôm. gravitacionais	[0, 31, 'DINRoundOffcPro']
028ea8c9	81ª camada	[0, 10, 'GillSansStd-UltraBold']
029554ab	Ataques de combo ou chutes \n de um estilo específico são \n aprimorados.	[0, 67, 'DINRoundOffcPro']
02c34025	Progresso na história	[0, 21, 'DINRoundOffcPro']
02deb3aa	Batalha de campo de estase	[0, 26, 'DINRoundOffcPro']
030aeb58	VS	[0, 2, 'GillSansStd-UltraBold']
032633fe	Suave	[0, 5, 'DINRoundOffcPro']
0328a235	Círculos na Água	[0, 16, 'GillSansStd-UltraBold']
039e4f64	Pedra de concha reluzente	[0, 25, 'DINRoundOffcPro']
03c8d584	OK	[0, 2, 'DINRoundOffcPro']
03d27169	20ª camada	[0, 10, 'DINRoundOffcPro']
03db95b5	Guarda-Costas Esquecido	[0, 23, 'DINRoundOffcPro']
03e34b71	Retratos de mulheres 5	[0, 22, 'DINRoundOffcPro-Bold']
03f69d6b	Mansão Sun	[0, 10, 'GillSansStd-UltraBold']
03f779e5	Estilo Júpiter	[0, 14, 'DINRoundOffcPro']
0407e53f	Ricos depósitos de minério	[0, 26, 'DINRoundOffcPro']
045bd811	Vistas em Hekseville 5	[0, 22, 'DINRoundOffcPro-Bold']
046f618d	Corrida deslizante I	[0, 20, 'DINRoundOffcPro']
0475b6f6	Juntos, Tão Estranho	[0, 20, 'GillSansStd-UltraBold']
049a3a01	Roupas	[0, 6, 'DINRoundOffcPro']
04c04344	Cham. emergência/Mina de Delvool	[0, 32, 'DINRoundOffcPro']
04c2a1a5	Lágrimas Contidas	[0, 17, 'GillSansStd-BoldExtraCond']
04c49b73	Ruínas da Torre Antitempestade	[0, 30, 'GillSansStd-UltraBold']
04fcc698	Mudança de atitude	[0, 18, 'GillSansStd-UltraBold']
