Reference Name	Text	Font
036908f3	Hey!	[0, 4, 'DINRoundOffcPro']
076866ce	The Council plans on \n putting the people of \n Elgona in danger first.	[0, 66, 'DINRoundOffcPro']
0cb10af9	But a new darkness grew in the shadows of that light. \n A presence had awoken, though we were too \n blind to see it.	[0, 112, 'DINRoundOffcPro']
0e58f610	I think the Council's \n making a mess of things.	[0, 46, 'DINRoundOffcPro']
140787f5	You too, \n huh?	[0, 13, 'DINRoundOffcPro']
1c3f9b65	The Cargo is ours! \n We've taken back what's \n rightfully the Lhao's!	[0, 65, 'DINRoundOffcPro']
1d4f89fb	Yeah, \n I hear him too.	[0, 21, 'DINRoundOffcPro']
2ecf9f71	Everything's \n back the way \n it should be.	[0, 39, 'DINRoundOffcPro']
315757ca	Their plan's already \n underway. Isn't there \n something I can do to \n stop it?	[0, 73, 'DINRoundOffcPro']
3717a277	Jirga Para Lhao used to \n belong to Lisa's people.	[0, 48, 'DINRoundOffcPro']
418fe912	I agree, but what can \n we do to stop it?	[0, 39, 'DINRoundOffcPro']
4ad7eb18	I can't bear to think my \n family might die because \n the Council got greedy.	[0, 73, 'DINRoundOffcPro']
4e0f0f5a	They're planning on \n making the people in \n Elgona do the dirty \n work.	[0, 66, 'DINRoundOffcPro']
57571160	It's our fate to be used \n and abused...	[0, 38, 'DINRoundOffcPro']
58be906d	Thank you, Vogo.	[0, 16, 'DINRoundOffcPro']
5a53060d	Hey...	[0, 6, 'DINRoundOffcPro']
5ec3ce23	It's about time they \n earned the tax money we \n keep giving them.	[0, 62, 'DINRoundOffcPro']
670bd129	The people here are a \n bit out of touch...	[0, 41, 'DINRoundOffcPro']
6cc65e3c	The Garrison came by and \n dragged off every \n able-bodied man.	[0, 59, 'DINRoundOffcPro']
73b6ee7e	I heard the working \n conditions there were \n awful.	[0, 48, 'DINRoundOffcPro']
78feff55	What could be inside \n that rift that's got the \n government so \n interested?	[0, 71, 'DINRoundOffcPro']
7cfef084	I just don't want to see \n him, or my son, get \n conscripted for the \n mines.	[0, 71, 'DINRoundOffcPro']
7e566348	Elgona is always forced \n to make the big \n sacrifices!	[0, 51, 'DINRoundOffcPro']
8146025c	They should be closing \n it, not exploring it.	[0, 44, 'DINRoundOffcPro']
82987996	Everyone must be very \n nervous right now...	[0, 42, 'DINRoundOffcPro']
8546f38a	Though my husband tells \n me not to go around \n voicing my opinion.	[0, 63, 'DINRoundOffcPro']
88b2bf1f	That was the first time \n I've ever seen one of \n those disgusting \n Scarabs.	[0, 71, 'DINRoundOffcPro']
8a8e0462	I didn't know things \n were already \n happening so fast...	[0, 54, 'DINRoundOffcPro']
91fac125	Of course, I called the \n Garrison to have them \n cleaned out.	[0, 58, 'DINRoundOffcPro']
932d98df	Hey...	[0, 6, 'DINRoundOffcPro']
94287ea2	Those kinda things never \n used to happen here.	[0, 45, 'DINRoundOffcPro']
9d7080a8	And even with all that \n going on, they want to \n pull us away to work the \n mines?	[0, 77, 'DINRoundOffcPro']
9e0a1085	And the flames of hope \n swept through the city.	[0, 46, 'DINRoundOffcPro']
a752128b	A light to dispel the darkness that \n had hung so long over \n Jirga Para Lhao.	[0, 74, 'DINRoundOffcPro']
c321c791	I never thought I'd see \n something like that in \n Lei Havina!	[0, 58, 'DINRoundOffcPro']
c5fd0bd4	The Garrison dragged \n away every \n healthy-looking man and \n boy...	[0, 62, 'DINRoundOffcPro']
c8f90081	Vogo!	[0, 5, 'DINRoundOffcPro']
cc69c997	What about the workers \n who have to deal with \n Scarabs all the time?	[0, 66, 'DINRoundOffcPro']
cf978514	What with the gravity \n storms and Nevi - \n everything's gone crazy \n lately.	[0, 71, 'DINRoundOffcPro']
d1410387	The captives were free, the Council were \n toppled, the Cargo was with the Lhao Tribe...	[0, 86, 'DINRoundOffcPro']
e1cf93f3	Thanks to Vogo's \n sacrifice...	[0, 29, 'DINRoundOffcPro']
ea1796f9	Strange... \n It's like I can still hear \n him right here with us.	[0, 61, 'DINRoundOffcPro']
ep10_00000k_010	Raven, what are you \n doing? Why aren't \n you going inside?	[0, 55, 'DINRoundOffcPro']
ep10_00000k_020	Something's wrong...	[0, 20, 'DINRoundOffcPro']
ep10_00000k_030	What?	[0, 5, 'DINRoundOffcPro']
ep10_00000k_040	You mean you haven't \n noticed? Where are the \n guards?	[0, 51, 'DINRoundOffcPro']
ep10_00000k_050	Wait... Does that mean \n they've been conscripted \n as miners too!?	[0, 63, 'DINRoundOffcPro']
ep10_00000k_060	Oh!	[0, 3, 'DINRoundOffcPro']
ep10_00001	You can now change gravity styles!	[0, 34, 'DINRoundOffcPro']
ep10_00100	Find the Hostages	[0, 17, 'DINRoundOffcPro']
ep10_00100c_010	AAH!	[0, 4, 'DINRoundOffcPro']
ep10_00100c_020	!	[0, 1, 'DINRoundOffcPro']
ep10_00100c_030	Lisa...?	[0, 8, 'DINRoundOffcPro']
ep10_00100c_040	Yep...	[0, 6, 'DINRoundOffcPro']
ep10_00100c_050	We're done with this \n corrupt government \n and its orders.	[0, 55, 'DINRoundOffcPro']
ep10_00100c_060	The time has come \n to take arms and \n rise in revolt.	[0, 50, 'DINRoundOffcPro']
ep10_00100c_070	The Council is \n well-guarded. But we \n have information...	[0, 55, 'DINRoundOffcPro']
ep10_00100c_080	It's thanks to you I could \n see my son again, I'm \n here to help!	[0, 62, 'DINRoundOffcPro']
ep10_00100c_090	He's the patrol \n survivor.	[0, 25, 'DINRoundOffcPro']
ep10_00100c_100	Kat, you were right. \n If we don't fight for what's \n ours, we don't deserve it.	[0, 76, 'DINRoundOffcPro']
ep10_00100c_110	How about it? \n Are you with me?	[0, 30, 'DINRoundOffcPro']
ep10_00100c_120	Absolutely!	[0, 11, 'DINRoundOffcPro']
ep10_00100c_130	Of course.	[0, 10, 'DINRoundOffcPro']
ep10_00100c_140	Vogo? \n Where are you \n going?	[0, 26, 'DINRoundOffcPro']
ep10_00100c_150	I'm leaving. No way \n anyone's making me \n work some mine.	[0, 54, 'DINRoundOffcPro']
ep10_00100c_160	You're on your own. \n Do what you want.	[0, 37, 'DINRoundOffcPro']
ep10_00100c_170	It's finished! \n Sun Shipping is done.	[0, 36, 'DINRoundOffcPro']
ep10_00100c_180	B-But what \n about Fi?	[0, 20, 'DINRoundOffcPro']
ep10_00100c_190	...	[0, 3, 'DINRoundOffcPro']
ep10_00100c_200	It's my fault. If I \n hadn't allowed myself \n to be caught, we \n wouldn't be in here.	[0, 79, 'DINRoundOffcPro']
ep10_00100c_210	If only I was \n stronger, I wouldn't \n be such a burden...	[0, 54, 'DINRoundOffcPro']
ep10_00100c_220	Cecie, no one starts \n out strong...	[0, 34, 'DINRoundOffcPro']
ep10_00100c_230	Strength comes when you \n have something or someone \n you want to protect.	[0, 70, 'DINRoundOffcPro']
ep10_00100c_240	Someone to \n protect...	[0, 21, 'DINRoundOffcPro']
ep10_00101	I should start at the bottom and work my way up.	[0, 48, 'DINRoundOffcPro']
ep10_00102	There are still more to save.	[0, 29, 'DINRoundOffcPro']
ep10_00103	Raven: \n We need to stay quiet and head for the tower. Follow me.	[0, 7, 'DINRoundOffcPro'], [7, 63, 'DINRoundOffcPro']
ep10_00104	Follow Raven	[0, 12, 'DINRoundOffcPro']
ep10_00105	Raven: \n Let's get the last one free.	[0, 7, 'DINRoundOffcPro'], [7, 35, 'DINRoundOffcPro']
ep10_00106	That's all of 'em.	[0, 18, 'DINRoundOffcPro']
ep10_00107	Raven: \n Let's break them out.	[0, 7, 'DINRoundOffcPro'], [7, 28, 'DINRoundOffcPro']
ep10_00108	Break the Bars	[0, 14, 'DINRoundOffcPro']
ep10_00109	Let's get you back to the mining boat.	[0, 38, 'DINRoundOffcPro']
ep10_00110	Rescue the Hostages	[0, 19, 'DINRoundOffcPro']
ep10_00110k_010	The hostages are being \n held in cells in the \n cliff below the Council.	[0, 68, 'DINRoundOffcPro']
ep10_00110k_020	Ordinarily, it'd be \n impossible to even \n approach the area...	[0, 59, 'DINRoundOffcPro']
ep10_00110k_030	But we've received word \n the Bismalia will be \n going down for repairs.	[0, 68, 'DINRoundOffcPro']
ep10_00110k_040	So we can get close \n without being shot down.	[0, 44, 'DINRoundOffcPro']
ep10_00110k_050	Sounds good to me!	[0, 18, 'DINRoundOffcPro']
ep10_00110k_060	Right, but that doesn't \n mean it'll be unguarded.	[0, 48, 'DINRoundOffcPro']
ep10_00110k_070	The upper levels near \n the barracks will be \n crawling with soldiers.	[0, 66, 'DINRoundOffcPro']
ep10_00110k_080	So we need to start the \n rescue operation with \n the lower levels.	[0, 63, 'DINRoundOffcPro']
ep10_00110k_090	Start at the bottom, \n got it!	[0, 28, 'DINRoundOffcPro']
ep10_00111	I have to take down that guard before I can help anyone.	[0, 56, 'DINRoundOffcPro']
ep10_00111k_010	Raven, take care of \n things here, I'll get \n the hostage to Lisa.	[0, 62, 'DINRoundOffcPro']
ep10_00111k_020	I'll make sure to finish \n before the guards \n notice.	[0, 50, 'DINRoundOffcPro']
