Reference Name	Text	Font
00468e2b	我的好恶	[0, 4, 'DFHEI5-V-SONY']
0063c269	到城里去	[0, 4, 'DFHEI5-V-SONY']
006d2943	气罐	[0, 2, 'DFHEI5-V-SONY']
00724e9d	走下坡	[0, 3, 'DFHEI5-V-SONY']
008f8d2f	护符：“渔夫的诀窍”	[0, 10, 'DFHEI5-V-SONY']
0095956c	选择想要转移到融合 \n 护符的三个技能。	[0, 18, 'DFHEI5-V-SONY']
01059121	第 7 层	[0, 5, 'DFHEI5-V-SONY']
010e2838	苹果	[0, 2, 'DFHEI5-V-SONY']
0123a81a	继续	[0, 2, 'DFHEI5-V-SONY']
01278b62	一位投递员需要有人帮忙， \n 请将报纸发给市内的读者们！	[0, 26, 'DFHEI5-V-SONY']
0128e3fd	白衣凯特	[0, 4, 'DFHEI5-V-SONY']
013b274b	特殊拍照道具 #3	[0, 9, 'DFHEI5-V-SONY']
0140296b	护符	[0, 2, 'DFHEI5-V-SONY']
014f3085	已得到“PSO2 蓝色集装箱”！ \n 你可以通过按 l 并进入“照片模式”来使用它。	[0, 24, 'DFHEI5-V-SONY'], [24, 25, 'Gravity2_Gaiji'], [25, 40, 'DFHEI5-V-SONY']
016557df	娱乐区“霓虹街” \n 站在阿克比斯学院附近桥上的女人。	[0, 25, 'DFHEI5-V-SONY']
01659d38	恐惧的代价	[0, 5, 'DFHEI5-V-SONY']
01838fa6	人群	[0, 2, 'DFHEI5-V-SONY']
0187d605	第 14 层	[0, 6, 'DFHEI5-V-SONY']
01901083	放松	[0, 2, 'DFHEI5-V-SONY']
01a0418a	得到“特殊拍照道具 #9”！ \n 按 l 并进入“照片模式”来使用。	[0, 17, 'DFHEI5-V-SONY'], [17, 18, 'Gravity2_Gaiji'], [18, 32, 'DFHEI5-V-SONY']
01b370e8	第 7 层	[0, 5, 'DFHEI5-V-SONY']
01d9ea5f	特殊拍照道具 #3	[0, 9, 'DFHEI5-V-SONY']
01f59ed8	e 筛选技能    c 切换收藏夹    d 删除菜单    f 护符清单    p 完成	[0, 1, 'Gravity2_Gaiji'], [1, 10, 'DFHEI5-V-SONY'], [10, 11, 'Gravity2_Gaiji'], [11, 21, 'DFHEI5-V-SONY'], [21, 22, 'Gravity2_Gaiji'], [22, 31, 'DFHEI5-V-SONY'], [31, 32, 'Gravity2_Gaiji'], [32, 41, 'DFHEI5-V-SONY'], [41, 42, 'Gravity2_Gaiji'], [42, 45, 'DFHEI5-V-SONY']
0201fab5	实验与通道	[0, 5, 'DFHEI5-V-SONY']
0203792f	索取个人信息	[0, 6, 'DFHEI5-V-SONY']
0228f65e	娱乐区“霓虹街” \n 醉象门	[0, 12, 'DFHEI5-V-SONY']
022a77f4	第 41 层	[0, 6, 'DFHEI5-V-SONY']
02376368	新的公告文本	[0, 6, 'DFHEI5-V-SONY']
023d97c4	第 34 层	[0, 6, 'DFHEI5-V-SONY']
025df376	已侦测到异常重力现象	[0, 10, 'DFHEI5-V-SONY']
