Reference Name	Text	Font
5ffd194d	Od czasu sprowadzenia dzieci z Boutoume z powrotem \n do Hekseville minęło kilka miesięcy. Ich przejście \n przez płaszczyznę szczeliny wywołało jednak \n stan hibernacji.	[0, 162, 'DINRoundOffcPro']
80f51948	Zaczekaj, Zaza. Sprowadzę was do domu, za wszelką cenę.	[0, 55, 'DINRoundOffcPro']
a6f8194a	Naukowiec stwierdził, że zdoła ich obudzić. \n Do przeprowadzenia eksperymentu potrzebował pomocy mojej i Kat.	[0, 107, 'DINRoundOffcPro']
dm01_00100m_010	Obudziłam się dziś rano z bardzo dziwnego snu. \n Pamiętam tylko jedno pytanie:	[0, 76, 'DINRoundOffcPro']
dm01_00100m_020	Co byś poświęciła, aby ocalić dzieci z Arki?	[0, 44, 'DINRoundOffcPro']
dm01_00100m_030	Zaza, boję się.	[0, 15, 'DINRoundOffcPro']
dm01_00100m_040	Sachya, to nic takiego. Trzymaj się mnie blisko.	[0, 48, 'DINRoundOffcPro']
dm01_00100m_050	Przestańcie! Bo wezwę policję!	[0, 30, 'DINRoundOffcPro']
dm01_00100m_060	Spróbuj, i tak ci nie pomogą.	[0, 29, 'DINRoundOffcPro']
dm01_00100m_070	C-cofnij się!	[0, 13, 'DINRoundOffcPro']
dm01_00100m_080	Au!	[0, 3, 'DINRoundOffcPro']
dm01_00100m_090	Koniec zabawy.	[0, 14, 'DINRoundOffcPro']
dm01_00100m_100	To tak paskudna trans grawitorka!	[0, 33, 'DINRoundOffcPro']
dm01_00103	Zbir: \n N-Nevi!	[0, 6, 'DINRoundOffcPro'], [6, 13, 'DINRoundOffcPro']
dm01_00113	Muszę ich odciągnąć od zbieracza energii.	[0, 41, 'DINRoundOffcPro']
dm01_00114	Odsuńcie się od tej maszyny! Już!	[0, 33, 'DINRoundOffcPro']
dm01_00115	Pokonaj zbirów.	[0, 15, 'DINRoundOffcPro']
dm01_00116	Nikomu nie pozwolę przerwać eksperymentu!	[0, 41, 'DINRoundOffcPro']
dm01_00117	Teraz czas rozprawić się z Nevi...	[0, 34, 'DINRoundOffcPro']
dm01_00118	Zbir: \n Robimy co chcemy!	[0, 6, 'DINRoundOffcPro'], [6, 23, 'DINRoundOffcPro']
dm01_00119	Zbir: \n Tak, nie będziesz nam rozkazywać!	[0, 6, 'DINRoundOffcPro'], [6, 39, 'DINRoundOffcPro']
dm01_00120k_010	To coś ma przyciągać \n Nevi... A moim zadaniem \n jest je niszczyć.	[0, 62, 'DINRoundOffcPro']
dm01_00120k_020	Gdy już złapiemy \n ich dość w te \n maszyny...	[0, 41, 'DINRoundOffcPro']
dm01_00120k_030	Będziemy mieli \n energię na rozpoczęcie \n eksperymentu.	[0, 51, 'DINRoundOffcPro']
dm01_00121	Nevi. Tak jak mówili.	[0, 21, 'DINRoundOffcPro']
dm01_00122	Zbiornik energetyczny maszyny powinien być pełny.	[0, 49, 'DINRoundOffcPro']
dm01_00123	Muszę wyciągnąć zbiornik energetyczny z maszyny.	[0, 48, 'DINRoundOffcPro']
dm01_00125	Jeden zbiornik energetyczny wyciągnięty.	[0, 40, 'DINRoundOffcPro']
dm01_00127	Dzięki energii zdołają obudzić dzieci z Arki.	[0, 45, 'DINRoundOffcPro']
dm01_00128	Zaza... Wracasz do domu.	[0, 24, 'DINRoundOffcPro']
dm01_00130	Zbir: \n Miasto nie mogło wysłać kogoś silniejszego?	[0, 6, 'DINRoundOffcPro'], [6, 49, 'DINRoundOffcPro']
dm01_00130k_010	Raven, otrzymałem \n raport, że w obszarze \n numer jeden panoszyły \n się jakieś zbiry.	[0, 79, 'DINRoundOffcPro']
dm01_00130k_020	Sprawa załatwiona.	[0, 18, 'DINRoundOffcPro']
dm01_00130k_030	N-naprawdę? \n To dobre wieści!	[0, 28, 'DINRoundOffcPro']
dm01_00130k_035	Dasz wiarę?!	[0, 12, 'DINRoundOffcPro']
dm01_00130k_040	Co za bezduszni \n przestępcy chcą zapobiec \n ocaleniu dzieci z Arki?	[0, 64, 'DINRoundOffcPro']
dm01_00130k_050	Kto wie? Ale nie \n pozwolę im \n przeszkodzić \n w eksperymencie.	[0, 57, 'DINRoundOffcPro']
dm01_00130k_055	Bardzo mnie to cieszy!	[0, 22, 'DINRoundOffcPro']
dm01_00130k_060	Muszę dotrzeć \n do kolejnej maszyny.	[0, 34, 'DINRoundOffcPro']
dm01_00130k_070	Tak jest! Każę \n reszcie zachować \n czujność.	[0, 41, 'DINRoundOffcPro']
dm01_00130k_075	Nie udałoby nam się to \n bez ciebie i tej drugiej \n grawitorki.	[0, 59, 'DINRoundOffcPro']
dm01_00130k_080	Z waszą pomocą szybko \n zdobędziemy potrzebną \n energię!	[0, 52, 'DINRoundOffcPro']
dm01_00131	Zbir: \n A-a co to?!	[0, 6, 'DINRoundOffcPro'], [6, 17, 'DINRoundOffcPro']
dm01_00132	Zbir: \n Nevi! Wiejemy!	[0, 6, 'DINRoundOffcPro'], [6, 20, 'DINRoundOffcPro']
dm01_00310k_010	Zaza?!	[0, 6, 'DINRoundOffcPro']
dm01_00310k_020	Sachya? \n Sachya, gdzie jesteś?!	[0, 30, 'DINRoundOffcPro']
dm01_00310k_030	Coś mi się chyba \n zdawało. Czy Zaza \n może tu być?	[0, 47, 'DINRoundOffcPro']
dm01_00310k_040	To wszystko moja \n wina. Powinienem był \n bardziej się postarać. \n Chronić ją.	[0, 72, 'DINRoundOffcPro']
dm01_00310k_050	Nie, to moja wina-	[0, 18, 'DINRoundOffcPro']
dm01_00310k_060	Muszę ją znaleźć. \n Sachya! Sachya!	[0, 33, 'DINRoundOffcPro']
dm01_00310k_070	Zaza i inni muszą \n być uwięzieni \n w koszmarze.	[0, 44, 'DINRoundOffcPro']
dm01_00310k_080	Zaza, zaczekaj... \n Zrobię wszystko, \n aby cię sprowadzić \n z powrotem.	[0, 65, 'DINRoundOffcPro']
dm01_00310k_090	Jeszcze się zobaczymy, \n obiecuję.	[0, 32, 'DINRoundOffcPro']
dm01_00320k_010	Hejka, Raven! \n To ma pomóc \n dzieciakom śpiącym \n w Arce?	[0, 52, 'DINRoundOffcPro']
dm01_00320k_015	Przepraszam, że \n przeszkadzam, ale \n musimy porozmawiać.	[0, 53, 'DINRoundOffcPro']
dm01_00320k_020	Gade? Cyanea? \n Możemy pogadać \n później? \n Jestem zajęta.	[0, 52, 'DINRoundOffcPro']
dm01_00320k_030	Ach tak, czas to \n spory problem. \n A właśnie...	[0, 44, 'DINRoundOffcPro']
