Reference Name	Text	Font
00468e2b	Wat ik leuk vind, wat ik haat	[0, 29, 'DINRoundOffcPro']
0063c269	De stad in	[0, 10, 'GillSansStd-UltraBold']
006d2943	Gasfles	[0, 7, 'DINRoundOffcPro']
00724e9d	Bergafwaarts	[0, 12, 'DINRoundOffcPro']
008f8d2f	Talisman: Vissersrecept	[0, 23, 'DINRoundOffcPro']
0095956c	Kies drie skills die je \n wilt overzetten naar de \n samengevoegde talisman.	[0, 71, 'DINRoundOffcPro']
01059121	7e laag	[0, 7, 'DINRoundOffcPro']
010e2838	Appel	[0, 5, 'DINRoundOffcPro']
0123a81a	DOORGAAN	[0, 8, 'GillSansStd-ExtraBold']
01278b62	Een bezorger moet kranten bezorgen bij de \n lezers in de stad.	[0, 60, 'DINRoundOffcPro']
0128e3fd	Witte Kat	[0, 9, 'DINRoundOffcPro']
013b274b	Speciaal foto-item 3	[0, 20, 'DINRoundOffcPro']
0140296b	Talismans	[0, 9, 'GillSansStd-UltraBold']
014f3085	PSO2 Blauwe kist gekregen! \n Je kunt het gebruiken door op l te drukken en \n naar de Fotomodus te gaan.	[0, 57, 'DINRoundOffcPro'], [57, 58, 'Gravity2_Gaiji'], [58, 99, 'DINRoundOffcPro']
016557df	Uitgaansgebied Pleajeune \n Een vrouw die op de brug staat bij de Arquebus-academie.	[0, 81, 'DINRoundOffcPro']
01659d38	De vergelding van angst	[0, 23, 'DINRoundOffcPro']
01838fa6	De menigte	[0, 10, 'DINRoundOffcPro']
01862e67	NieR: Automata 2B zonder vizier gekregen! \n Je kunt het gebruiken door op l te drukken \n en naar de Fotomodus te gaan.	[0, 72, 'DINRoundOffcPro'], [72, 73, 'Gravity2_Gaiji'], [73, 114, 'DINRoundOffcPro']
0187d605	14e laag	[0, 8, 'GillSansStd-UltraBold']
01901083	Ontspannen	[0, 10, 'DINRoundOffcPro']
01a0418a	Speciaal foto-item 9 gekregen! \n Je kunt het gebruiken door op l te drukken \n en naar de Fotomodus te gaan.	[0, 61, 'DINRoundOffcPro'], [61, 62, 'Gravity2_Gaiji'], [62, 103, 'DINRoundOffcPro']
01b370e8	7e laag	[0, 7, 'DINRoundOffcPro']
01d9ea5f	Speciaal foto-item 3	[0, 20, 'DINRoundOffcPro']
