Reference Name	Text	Font
00e4b38e	破坏器（所有）	[0, 7, 'DFHEI5-V-SONY']
00e5b594	选中的护符	[0, 5, 'DFHEI5-V-SONY']
01884746	渔夫的诀窍	[0, 5, 'DFHEI5-V-SONY']
028d8535	牢不可破 （月）	[0, 8, 'DFHEI5-V-SONY']
02950306	解除咒语	[0, 4, 'DFHEI5-V-SONY']
02de963a	失重保持器 （木）	[0, 9, 'DFHEI5-V-SONY']
02dfda0b	节约技能点 （普）	[0, 9, 'DFHEI5-V-SONY']
02e6140b	强烈意志	[0, 4, 'DFHEI5-V-SONY']
030e6cfa	在普通模式下击败 \n 敌人时恢复体力。	[0, 17, 'DFHEI5-V-SONY']
03c50171	体力回复 （普）	[0, 8, 'DFHEI5-V-SONY']
04f6a71b	滑行保持器（所有）	[0, 9, 'DFHEI5-V-SONY']
05efb395	破坏器 （木）	[0, 7, 'DFHEI5-V-SONY']
06b57785	虫洞增强器	[0, 5, 'DFHEI5-V-SONY']
06ca8734	宝石吸引场	[0, 5, 'DFHEI5-V-SONY']
06d20505	高里程数 （普）	[0, 8, 'DFHEI5-V-SONY']
06fee10e	提升虫洞踢的连击数	[0, 9, 'DFHEI5-V-SONY']
07e99641	增强器 （月）	[0, 7, 'DFHEI5-V-SONY']
07f11412	致痛器 （木）	[0, 7, 'DFHEI5-V-SONY']
0885bd25	补药	[0, 2, 'DFHEI5-V-SONY']
0942d893	增加你在失重领域 \n 可一次拿取的物品 \n 数量。	[0, 21, 'DFHEI5-V-SONY']
094a7f0f	有效踢 （月）	[0, 7, 'DFHEI5-V-SONY']
09594d1f	强势 （月）	[0, 6, 'DFHEI5-V-SONY']
098f6122	带标记的护符	[0, 6, 'DFHEI5-V-SONY']
0993e998	降低执行虫洞踢 \n 所需的能量数。	[0, 15, 'DFHEI5-V-SONY']
09f96d0a	增强抓力	[0, 4, 'DFHEI5-V-SONY']
0a79d033	万能（木）	[0, 5, 'DFHEI5-V-SONY']
0b09e215	提高浪涌踢的命中率	[0, 9, 'DFHEI5-V-SONY']
0b269940	加速器（所有）	[0, 7, 'DFHEI5-V-SONY']
0b2e1711	破坏器 （普）	[0, 7, 'DFHEI5-V-SONY']
0b77a09f	亲犬大使	[0, 4, 'DFHEI5-V-SONY']
0b938	有效踢 （木）	[0, 7, 'DFHEI5-V-SONY']
0bc0778c	靶心	[0, 2, 'DFHEI5-V-SONY']
0bc9b3aa	礼物碎片 VIII	[0, 9, 'DFHEI5-V-SONY']
0c0d0477	节约技能点 （普）	[0, 9, 'DFHEI5-V-SONY']
0c1f9b14	失重保持器 （月）	[0, 9, 'DFHEI5-V-SONY']
0c566e	降低执行普通模式终极技“螺旋爪” \n 所需的技能点。	[0, 24, 'DFHEI5-V-SONY']
0cce93b5	致痛器 （普）	[0, 7, 'DFHEI5-V-SONY']
0cd61186	技能点倍增器	[0, 6, 'DFHEI5-V-SONY']
0e6a8fc5	强势 （普）	[0, 6, 'DFHEI5-V-SONY']
0e6bd396	额外技能点	[0, 5, 'DFHEI5-V-SONY']
0e720d96	助力器	[0, 3, 'DFHEI5-V-SONY']
0ebce49b	礼物碎片 VIII	[0, 9, 'DFHEI5-V-SONY']
0f128a3a	超越	[0, 2, 'DFHEI5-V-SONY']
0f1a080b	血清	[0, 2, 'DFHEI5-V-SONY']
0f46e414	降低在任何重力模式下 \n 移动所需的能量数。	[0, 20, 'DFHEI5-V-SONY']
0ffd798b	高里程数（所有）	[0, 8, 'DFHEI5-V-SONY']
10105aa6	节约技能点 （木）	[0, 9, 'DFHEI5-V-SONY']
10f04235	工人的骄傲	[0, 5, 'DFHEI5-V-SONY']
1118047e	节约技能点 （月）	[0, 9, 'DFHEI5-V-SONY']
11616e07	降低执行月亮模式终极技“重力台风” \n 所需的技能点。	[0, 25, 'DFHEI5-V-SONY']
11cdbf2b	万能（月）	[0, 5, 'DFHEI5-V-SONY']
11d993bc	致痛器（所有）	[0, 7, 'DFHEI5-V-SONY']
11e1118d	增强器 （木）	[0, 7, 'DFHEI5-V-SONY']
12865223	技能点再生器	[0, 6, 'DFHEI5-V-SONY']
12a14f25	超越+	[0, 3, 'DFHEI5-V-SONY']
12a791c4	电阻器	[0, 3, 'DFHEI5-V-SONY']
12af0f95	强势（所有）	[0, 6, 'DFHEI5-V-SONY']
12d76328	礼物碎片 IV	[0, 7, 'DFHEI5-V-SONY']
1332d50e	螺旋爪的持续时间更长。	[0, 11, 'DFHEI5-V-SONY']
133a7c8a	吸收装置 （木）	[0, 8, 'DFHEI5-V-SONY']
13494a9a	宝石探测器	[0, 5, 'DFHEI5-V-SONY']
134f8c39	爆破	[0, 2, 'DFHEI5-V-SONY']
13570a0a	无尽组合	[0, 4, 'DFHEI5-V-SONY']
