Reference Name	Text	Font
00d85eb6	Я сама не помню дедушку, \n но Заза сказал, что Сахия — \n его воображаемый друг.	[0, 75, 'DINRoundOffcPro']
15561758	Не пойму, в чем \n дело, но ты будто \n расстроена.	[0, 45, 'DINRoundOffcPro']
27e61b64	Врана, что \n не так?	[0, 18, 'DINRoundOffcPro']
2dd36bd4	Спасибо, что \n подобрали цветы.	[0, 29, 'DINRoundOffcPro']
36fd054e	Это все из-за тебя, \n ты слишком спешишь!	[0, 39, 'DINRoundOffcPro']
3f450854	Заза, Сахия... \n Какие хорошие имена.	[0, 35, 'DINRoundOffcPro']
42ee613f	Это он назвал меня \n Сахией!	[0, 26, 'DINRoundOffcPro']
488d0a5a	Заза! \n Подожди!	[0, 14, 'DINRoundOffcPro']
51d50c60	Сахия! \n Ты уронила \n дедушкины цветы!	[0, 34, 'DINRoundOffcPro']
83fc11cc	О да, похоже на то.	[0, 19, 'DINRoundOffcPro']
89e9613c	Зазу назвали в честь \n дедушки. И мне имя \n выбрал дедушка!	[0, 55, 'DINRoundOffcPro']
8c4414d2	?..	[0, 3, 'DINRoundOffcPro']
92316442	Я просто...	[0, 11, 'DINRoundOffcPro']
9b796648	Хватит мешать \n бедной женщине. \n Идем!	[0, 35, 'DINRoundOffcPro']
a4c1684e	Врана?	[0, 6, 'DINRoundOffcPro']
d6e86dba	Да... \n Думаю, да.	[0, 16, 'DINRoundOffcPro']
dae60fe6	Расстроена?	[0, 11, 'DINRoundOffcPro']
df3070c0	Что-то не так? \n Ты в порядке?	[0, 28, 'DINRoundOffcPro']
dm06_00100	Заза... Друзья... Я спасу вас.	[0, 30, 'DINRoundOffcPro']
dm06_00100c_010	Используй эту силу разумно, \n больше у нас ничего нет.	[0, 52, 'DINRoundOffcPro']
dm06_00100c_020	Мы едва можем поддерживать \n свою форму.	[0, 38, 'DINRoundOffcPro']
dm06_00100c_025	Мы не можем использовать \n остаток своих сил. \n Пока что.	[0, 53, 'DINRoundOffcPro']
dm06_00100c_030	Знаю.	[0, 5, 'DINRoundOffcPro']
dm06_00100c_040	Работает!	[0, 9, 'DINRoundOffcPro']
dm06_00100c_050	Но мы все \n еще здесь.	[0, 20, 'DINRoundOffcPro']
dm06_00100c_060	Возмущение в мирах \n не пройдет бесследно. \n За нами придут.	[0, 56, 'DINRoundOffcPro']
dm06_00100c_070	!..	[0, 3, 'DINRoundOffcPro']
dm06_00100c_080	Они не сдадут Ковчег \n без боя...	[0, 31, 'DINRoundOffcPro']
dm06_00101	Защищайте Ковчег	[0, 16, 'DINRoundOffcPro']
dm06_00102	Это еще не все...	[0, 17, 'DINRoundOffcPro']
dm06_00103	Опять?!	[0, 7, 'DINRoundOffcPro']
dm06_00104	Я должна защитить Ковчег!	[0, 25, 'DINRoundOffcPro']
dm06_00105	Не трогайте Ковчег!	[0, 19, 'DINRoundOffcPro']
dm06_00106	Нельзя, чтобы с Ковчегом что-то случилось!	[0, 42, 'DINRoundOffcPro']
dm06_00107	Ковчег вот-вот рухнет!	[0, 22, 'DINRoundOffcPro']
dm06_00108	ЗАЗА-А-А-А!	[0, 11, 'DINRoundOffcPro']
dm06_00109	Прочность Ковчега	[0, 17, 'DINRoundOffcPro']
dm06_00110k_010	Ковчег почти готов.	[0, 19, 'DINRoundOffcPro']
dm06_00110k_020	Мир начал \n восстанавливаться, \n но это долгий \n процесс.	[0, 51, 'DINRoundOffcPro']
dm06_00110k_030	Я спасу Ковчег!	[0, 15, 'DINRoundOffcPro']
dm06_00120	Их все больше и больше!	[0, 23, 'DINRoundOffcPro']
dm06_00200	Их нужно остановить!	[0, 20, 'DINRoundOffcPro']
dm06_00201	Они не должны разрушить Ковчег!	[0, 31, 'DINRoundOffcPro']
dm06_00202	А они упорные!	[0, 14, 'DINRoundOffcPro']
dm06_00203	А?	[0, 2, 'DINRoundOffcPro']
dm06_00204	Что это за звук?	[0, 16, 'DINRoundOffcPro']
dm06_00210k_010	Почему у меня не \n получается?	[0, 28, 'DINRoundOffcPro']
dm06_00210k_020	Врана! Одна ты \n не справишься.	[0, 29, 'DINRoundOffcPro']
dm06_00210k_030	Но здесь больше \n никого нет! \n Если я не...	[0, 40, 'DINRoundOffcPro']
dm06_00210k_040	Ты должна увести \n это чудовище \n подальше от \n Ковчега.	[0, 50, 'DINRoundOffcPro']
dm06_00210k_050	К своей второй \n половине. Ко второй \n Владыке. Вы должны \n объединиться.	[0, 67, 'DINRoundOffcPro']
dm06_00210k_060	Но она застыла! Как \n и все остальные!	[0, 36, 'DINRoundOffcPro']
dm06_00210k_070	Пф! Пропал. От этих \n Создателей прямого \n ответа не \n добьешься.	[0, 59, 'DINRoundOffcPro']
dm06_00215k_010	Могли бы и побояться!	[0, 21, 'DINRoundOffcPro']
dm06_00215k_020	Боюсь, они поняли, \n что мы \n задумали.	[0, 35, 'DINRoundOffcPro']
dm06_00215k_030	Они хотят удалить \n из этого мира Кэт.	[0, 36, 'DINRoundOffcPro']
dm06_00215k_040	Что?!	[0, 5, 'DINRoundOffcPro']
dm06_00215k_050	Останови их.	[0, 12, 'DINRoundOffcPro']
dm06_00215k_060	Спеши! Иначе мир \n будет потерян.	[0, 31, 'DINRoundOffcPro']
dm06_00220k_010	С мелочью я \n разобралась. Но \n что делать с этим \n чудищем?!	[0, 55, 'DINRoundOffcPro']
dm06_00220k_020	Как я должна с ним \n справиться?	[0, 30, 'DINRoundOffcPro']
dm06_00220k_030	Мяу!	[0, 4, 'DINRoundOffcPro']
dm06_00220k_040	Ты?!	[0, 4, 'DINRoundOffcPro']
dm06_00220k_050	Да. Тебе поможет \n хранительница \n второй Владыки.	[0, 46, 'DINRoundOffcPro']
dm06_00220k_060	Вместе вы будете едины.	[0, 23, 'DINRoundOffcPro']
dm06_00300m_010	Заза...	[0, 7, 'DINRoundOffcPro']
dm06_00300m_020	Врана, ты должна \n сделать еще кое-что.	[0, 37, 'DINRoundOffcPro']
dm06_00310k_010	Теперь Ковчег сможет \n занять положенное \n место...	[0, 47, 'DINRoundOffcPro']
dm06_00310k_020	Осталась последняя \n деталь, и мир \n сможет полностью \n восстановиться.	[0, 65, 'DINRoundOffcPro']
dm06_00310k_030	Что?	[0, 4, 'DINRoundOffcPro']
dm06_00310k_040	Реальность удивительно \n хрупка.	[0, 30, 'DINRoundOffcPro']
dm06_00310k_050	Она словно сложнейшая \n стеклянная \n головоломка.	[0, 45, 'DINRoundOffcPro']
