Reference Name	Text	Font
133a1019	Nothing was making any sense to me, \n but there was nothing I could do about it.	[0, 78, 'DINRoundOffcPro']
23c8a085	"Compatible"	[0, 12, 'DINRoundOffcPro']
24d88e1b	She has \n returned.	[0, 17, 'DINRoundOffcPro']
2c10a38b	Daddy! \n This is my fault. \n I'm so sorry.	[0, 38, 'DINRoundOffcPro']
3ea0a797	We just need to turn \n the clock back to a \n better time.	[0, 53, 'DINRoundOffcPro']
6a240e33	Dr. Brahman's crimes were revealed to the world, \n but before he could be brought to justice, \n both him and Kali Angel vanished.	[0, 125, 'DINRoundOffcPro']
ade991a1	Is it her?	[0, 10, 'DINRoundOffcPro']
c7b1aa1d	Shh, it's alright. \n Wipe your tears.	[0, 35, 'DINRoundOffcPro']
e8589913	Grigo showed me the \n answer to our problems.	[0, 43, 'DINRoundOffcPro']
ep17_00100	Run Away without \n Hurting Anyone	[0, 31, 'DINRoundOffcPro']
ep17_00100m_010	This is an emergency broadcast.	[0, 31, 'DINRoundOffcPro']
ep17_00100m_020	Be on the lookout for the Gravity Shifter, Kat.	[0, 47, 'DINRoundOffcPro']
ep17_00100m_040	She is wanted on suspicion of murdering political aide, Adicca.	[0, 63, 'DINRoundOffcPro']
ep17_00100m_050	She is on the loose and highly dangerous.	[0, 41, 'DINRoundOffcPro']
ep17_00100m_055	Kat is suspected of killing government aide, Adicca.	[0, 52, 'DINRoundOffcPro']
ep17_00100m_060	Wha-...?	[0, 8, 'DINRoundOffcPro']
ep17_00100m_070	Wanted criminal detected. \n Moving to subdue.	[0, 43, 'DINRoundOffcPro']
ep17_00101	What's with that broadcast!? Why are they lying about me?	[0, 57, 'DINRoundOffcPro']
ep17_00102	They'll catch me if I stay here, I need to get away.	[0, 52, 'DINRoundOffcPro']
ep17_00103	Flee Home	[0, 9, 'DINRoundOffcPro']
ep17_00104	Aujean: \n Kat!	[0, 8, 'DINRoundOffcPro'], [8, 12, 'DINRoundOffcPro']
ep17_00105	Eugie: \n S-Stay back!	[0, 7, 'DINRoundOffcPro'], [7, 19, 'DINRoundOffcPro']
ep17_00106	???: \n Wait!	[0, 5, 'DINRoundOffcPro'], [5, 10, 'DINRoundOffcPro']
ep17_00107	What have I done!?	[0, 18, 'DINRoundOffcPro']
ep17_00108	Mysterious Youth: \n Here they come.	[0, 18, 'DINRoundOffcPro'], [18, 33, 'DINRoundOffcPro']
ep17_00210k_010	H-Hey, you!	[0, 11, 'DINRoundOffcPro']
ep17_00210k_020	Aujean! Eugie! Listen, \n you've gotta hear me \n out-	[0, 48, 'DINRoundOffcPro']
ep17_00210k_030	There's been a mistake!	[0, 23, 'DINRoundOffcPro']
ep17_00210k_040	Of course... We \n understand, don't we, \n boy?	[0, 42, 'DINRoundOffcPro']
ep17_00210k_050	Sure, we've known each \n other a long time, after \n all.	[0, 52, 'DINRoundOffcPro']
ep17_00210k_060	Aujean... Eugie... I \n guess I misjudged you \n this whole time.	[0, 59, 'DINRoundOffcPro']
ep17_00210k_070	HEEEY! The Killer Queen \n is right here!	[0, 38, 'DINRoundOffcPro']
ep17_00210k_080	Wha-!?	[0, 6, 'DINRoundOffcPro']
ep17_00210k_090	I'm sure you had \n your reasons, but you \n gotta pay for your \n crime.	[0, 64, 'DINRoundOffcPro']
ep17_00210k_100	Don't think bad of us, \n it's just our civic \n duty.	[0, 48, 'DINRoundOffcPro']
ep17_00210k_110	I-I told you there was a \n mistake. I didn't do \n anything!	[0, 55, 'DINRoundOffcPro']
ep17_00215k_010	How did all this happen?	[0, 24, 'DINRoundOffcPro']
ep17_00215k_020	I didn't do anything \n wrong.	[0, 27, 'DINRoundOffcPro']
ep17_00215k_030	If I can just get home \n and have a moment to \n think...	[0, 52, 'DINRoundOffcPro']
ep17_00220k_010	Gravity Queen, you \n should stay away from \n here.	[0, 46, 'DINRoundOffcPro']
ep17_00220k_020	Ah! Wh-Who are you?	[0, 19, 'DINRoundOffcPro']
ep17_00220k_030	The police are on their \n way. You had to know \n they'd look here.	[0, 62, 'DINRoundOffcPro']
ep17_00220k_040	But I don't have \n anywhere else to go...	[0, 39, 'DINRoundOffcPro']
ep17_00220k_050	The fortune teller in \n Pleajeune sent me.	[0, 40, 'DINRoundOffcPro']
ep17_00220k_060	Aki sent you? She's \n helping me?	[0, 31, 'DINRoundOffcPro']
ep17_00220k_070	Are you telling me the \n truth?	[0, 29, 'DINRoundOffcPro']
ep17_00220k_080	You're not just trying \n to put one over on me, \n are you?	[0, 54, 'DINRoundOffcPro']
ep17_00220k_090	Suspicious? That's not \n like you.	[0, 32, 'DINRoundOffcPro']
ep17_00220k_100	Placing your faith in \n others... In the end, it \n will save you.	[0, 61, 'DINRoundOffcPro']
ep17_00220k_110	Now hurry!	[0, 10, 'DINRoundOffcPro']
ep17_00230k_010	Aki, it's me!	[0, 13, 'DINRoundOffcPro']
ep17_00230k_020	Thank you so much for \n believing in me!	[0, 38, 'DINRoundOffcPro']
ep17_00230k_030	...	[0, 3, 'DINRoundOffcPro']
ep17_00230k_040	Aki?	[0, 4, 'DINRoundOffcPro']
ep17_00230k_050	She's not here...	[0, 17, 'DINRoundOffcPro']
ep17_00230k_060	So that kid was fooling \n me?	[0, 27, 'DINRoundOffcPro']
ep17_00230k_070	My home is gone... Aki's \n gone... I'm all alone.	[0, 47, 'DINRoundOffcPro']
ep17_00240k_010	Ah!	[0, 3, 'DINRoundOffcPro']
ep17_00240k_020	Cornered. \n I'm gonna have to \n fight my way out.	[0, 45, 'DINRoundOffcPro']
ep17_00240k_030	Heya, Gravity Queen, it \n looks like things aren't \n going your way.	[0, 64, 'DINRoundOffcPro']
ep17_00240k_040	What's with \n this Grigo...?	[0, 26, 'DINRoundOffcPro']
ep17_00240k_050	All alone, helpless, no \n one to trust...	[0, 39, 'DINRoundOffcPro']
ep17_00240k_060	Kind of like when you \n first arrived in this \n town, isn't it?	[0, 59, 'DINRoundOffcPro']
ep17_00240k_070	Who's talking through \n that thing? The voice \n sounds familiar...	[0, 62, 'DINRoundOffcPro']
ep17_00240k_080	You'll just have to get \n them to remember who you \n really are.	[0, 60, 'DINRoundOffcPro']
ep17_00240k_090	That you're the true \n defender of this city.	[0, 43, 'DINRoundOffcPro']
ep17_00240k_100	I know it's difficult to \n believe, but I want to \n help you.	[0, 57, 'DINRoundOffcPro']
ep17_00240k_110	Something about that \n voice... What is it?	[0, 41, 'DINRoundOffcPro']
ep17_00240k_120	Alright, you bugged-out \n Grigo, if you want me to \n trust you...	[0, 61, 'DINRoundOffcPro']
ep17_00240k_130	I'll do it.	[0, 11, 'DINRoundOffcPro']
ep17_00240k_140	Thanks Gravity Queen.	[0, 21, 'DINRoundOffcPro']
ep17_00240k_150	To prove your innocence, \n you'll need to proceed \n to the square below.	[0, 68, 'DINRoundOffcPro']
ep17_00240k_160	But be quiet. No gravity \n shifting, and no \n starting fights...	[0, 60, 'DINRoundOffcPro']
ep17_00240k_170	Won't the way be \n guarded?	[0, 25, 'DINRoundOffcPro']
ep17_00240k_180	Just follow me- err, \n this Grigo.	[0, 32, 'DINRoundOffcPro']
ep17_00245k_010	We want to proceed to \n the square, but the \n patrols are too thick.	[0, 64, 'DINRoundOffcPro']
ep17_00245k_020	Let's use a Grigo.	[0, 18, 'DINRoundOffcPro']
ep17_00245k_030	Use a Grigo?	[0, 12, 'DINRoundOffcPro']
ep17_00245k_040	If I hack it, you can \n tell it what to do.	[0, 41, 'DINRoundOffcPro']
ep17_00245k_050	You'll have to lure it \n to me first.	[0, 35, 'DINRoundOffcPro']
ep17_00245k_060	If you enter its sensor \n range, it'll detect you \n and come to check on the \n disturbance.	[0, 85, 'DINRoundOffcPro']
ep17_00245k_070	Just don't get too \n close, or it'll \n recognise you and report \n you to the others.	[0, 78, 'DINRoundOffcPro']
ep17_00245k_080	Keep a safe distance, \n but bring it to me.	[0, 41, 'DINRoundOffcPro']
ep17_00245k_090	While it's worried about \n you, I'll sneak in and \n hack it.	[0, 56, 'DINRoundOffcPro']
ep17_00250k_010	That should do the \n trick. It'll follow your \n orders, for a while.	[0, 64, 'DINRoundOffcPro']
ep17_00250k_020	I reprogrammed it to \n follow you.	[0, 32, 'DINRoundOffcPro']
ep17_00250k_030	If you can get it near a \n police officer before it \n breaks its hacking...	[0, 71, 'DINRoundOffcPro']
ep17_00250k_040	It'll make a false \n report.	[0, 26, 'DINRoundOffcPro']
ep17_00250k_050	If the Grigo starts to \n head to one of the \n officers, find a place \n to hide.	[0, 73, 'DINRoundOffcPro']
ep17_00250k_060	So I just have to get \n this thing near an \n officer now...	[0, 55, 'DINRoundOffcPro']
ep17_00255k_010	The Grigo is about to \n break its hacking.	[0, 40, 'DINRoundOffcPro']
ep17_00255k_020	Better find a safe place \n to hide before it \n resumes its patrol.	[0, 62, 'DINRoundOffcPro']
