Reference Name	Text	Font
dm05_00010	加德： \n 我怎麼會這樣？	[0, 4, 'DFT_R5'], [4, 11, 'DFT_R5']
dm05_00015	辛亞奈： \n 我快要消失了！	[0, 5, 'DFT_R5'], [5, 12, 'DFT_R5']
dm05_00100	找回遺失的記憶！	[0, 8, 'DFT_YY6']
dm05_00100c_010	…	[0, 1, 'DFT_R5']
dm05_00100c_020	歡迎回來。 \n 真高興你沒事。	[0, 13, 'DFT_R5']
dm05_00100c_030	真是好險啊。 \n 你差點 \n 困在裡面。	[0, 16, 'DFT_R5']
dm05_00100c_040	出現了 \n 意料之外的問題。	[0, 12, 'DFT_R5']
dm05_00100c_050	但現在 \n 沒時間擔心 \n 那個了。	[0, 14, 'DFT_R5']
dm05_00100c_060	啊啊！	[0, 3, 'DFT_R5']
dm05_00100c_070	有了你發現的光明 \n 與黑暗元素，我們 \n 就能回到方舟…	[0, 25, 'DFT_R5']
dm05_00100c_080	啊！	[0, 2, 'DFT_R5']
dm05_00100c_090	消失了！	[0, 4, 'DFT_R5']
dm05_00100c_100	不可能！ \n 哪裡弄錯了？	[0, 11, 'DFT_R5']
dm05_00100c_110	夢裡有東西 \n 不太對勁…	[0, 11, 'DFT_R5']
dm05_00100c_120	嗯？	[0, 2, 'DFT_R5']
dm05_00100c_130	咿！	[0, 2, 'DFT_R5']
dm05_00100c_140	啊。	[0, 2, 'DFT_R5']
dm05_00100c_150	嗚。	[0, 2, 'DFT_R5']
dm05_00100c_160	這不是真的…	[0, 6, 'DFT_R5']
dm05_00100c_170	我們被騙了。	[0, 6, 'DFT_R5']
dm05_00100c_180	想像主的力量 \n 被偷了。	[0, 11, 'DFT_R5']
dm05_00100c_190	那就偷回來。	[0, 6, 'DFT_R5']
dm05_00100c_200	我不會放棄 \n 那些孩子！	[0, 11, 'DFT_R5']
dm05_00101	那是我的記憶…	[0, 7, 'DFT_R5']
dm05_00102	他們一出現，那些記憶就會消失？	[0, 15, 'DFT_R5']
dm05_00103	要集回記憶，我得奮力一搏！	[0, 13, 'DFT_R5']
dm05_00104	我都記得了。	[0, 6, 'DFT_R5']
dm05_00105	我想起來了…	[0, 6, 'DFT_R5']
dm05_00106	這是我找回記憶的機會！	[0, 11, 'DFT_R5']
dm05_00107	得擊敗他們才行…	[0, 8, 'DFT_R5']
dm05_00108	找回記憶我才能拯救扎兒！	[0, 12, 'DFT_R5']
dm05_00109	我孤零零地回到黑奇薩威。	[0, 12, 'DFT_R5']
dm05_00110	翻找垃圾堆、露宿街頭…	[0, 11, 'DFT_R5']
dm05_00110k_002	光之盧米諾。 \n 暗之天妮布莉亞。 \n 你們到底要什麼？	[0, 24, 'DFT_R5']
dm05_00110k_004	跟大家一樣：自由。 \n 我不要再被封印。	[0, 18, 'DFT_R5']
dm05_00110k_006	我只求臭人類 \n 別招惹我。	[0, 12, 'DFT_R5']
dm05_00110k_008	看來是不可能 \n 達成協議了。	[0, 13, 'DFT_R5']
dm05_00110k_010	他們想 \n 再試一次 \n 也是可以。	[0, 14, 'DFT_R5']
dm05_00110k_020	拉文，等等。 \n 你還無法 \n 打敗他們。	[0, 17, 'DFT_R5']
dm05_00110k_030	要素還沒到齊 \n 同步發生了問題。	[0, 15, 'DFT_R5']
dm05_00110k_040	同步？ \n 什麼意思？	[0, 9, 'DFT_R5']
