Reference Name	Text	Font
00d85eb6	Je me souviens pas de papi, mais \n Lolo a dit que Sachya était son \n ami imaginaire.	[0, 80, 'DINRoundOffcPro']
15561758	Je sais pas trop pourquoi, \n mais tu as l'air triste.	[0, 51, 'DINRoundOffcPro']
27e61b64	Raven, qu'est-ce \n qui va pas ?	[0, 29, 'DINRoundOffcPro']
2dd36bd4	Merci d'avoir \n ramassé nos fleurs.	[0, 33, 'DINRoundOffcPro']
36fd054e	C'est ta faute ! Tu \n cours trop vite !	[0, 37, 'DINRoundOffcPro']
3f450854	Lolo et Sachya... \n Ce sont de jolis prénoms.	[0, 43, 'DINRoundOffcPro']
42ee613f	C'est lui \n qui m'a baptisée \n Sachya !	[0, 35, 'DINRoundOffcPro']
488d0a5a	Lolo ! \n Attends !	[0, 16, 'DINRoundOffcPro']
51d50c60	Sachya ! \n Tu as fait tomber \n les fleurs de papi !	[0, 47, 'DINRoundOffcPro']
83fc11cc	C'est vrai, je crois \n que je suis triste.	[0, 40, 'DINRoundOffcPro']
89e9613c	Lolo, ça vient de papi.	[0, 23, 'DINRoundOffcPro']
8c4414d2	?	[0, 1, 'DINRoundOffcPro']
92316442	Je disais juste...	[0, 18, 'DINRoundOffcPro']
9b796648	Allez viens, arrête un peu \n d'embêter cette pauvre dame !	[0, 56, 'DINRoundOffcPro']
a4c1684e	Raven ?	[0, 7, 'DINRoundOffcPro']
d6e86dba	Oui... \n Oui, je crois que ça va.	[0, 31, 'DINRoundOffcPro']
dae60fe6	Triste ?	[0, 8, 'DINRoundOffcPro']
df3070c0	Je te trouve bizarre. \n Tout va bien ?	[0, 36, 'DINRoundOffcPro']
dm06_00100	Lolo, je vais te protéger toi et les autres...	[0, 46, 'DINRoundOffcPro']
dm06_00100c_010	Fais bon usage de ce pouvoir, \n c'est tout ce qu'il nous reste.	[0, 61, 'DINRoundOffcPro']
dm06_00100c_020	Nous pouvons à peine \n maintenir nos formes \n actuelles.	[0, 52, 'DINRoundOffcPro']
dm06_00100c_025	Et nous devons garder le peu \n de ressources qu'il nous reste \n pour une prochaine fois.	[0, 84, 'DINRoundOffcPro']
dm06_00100c_030	Bien entendu.	[0, 13, 'DINRoundOffcPro']
dm06_00100c_040	Ça marche !	[0, 11, 'DINRoundOffcPro']
dm06_00100c_050	Mais ce n'est \n pas encore \n terminé.	[0, 33, 'DINRoundOffcPro']
dm06_00100c_060	Ça ne passera pas \n inaperçu. Ils arrivent.	[0, 41, 'DINRoundOffcPro']
dm06_00100c_070	!	[0, 1, 'DINRoundOffcPro']
dm06_00100c_080	Ils ne vont pas abandonner \n l'Arche aussi facilement...	[0, 54, 'DINRoundOffcPro']
