Reference Name	Text	Font
2677d840	그런 증거들 앞에서도 \n 아무도 날 믿지 않는군. \n 참으로 냉정한 도시인들이야.	[0, 41, 'AsiaJMR_2']
3dcaa48c	이걸 봐라!	[0, 6, 'AsiaJMR_2']
6ff1a9f8	또 시작인가… \n 이번에는 가짜 사진까지 \n 준비했군.	[0, 26, 'AsiaJMR_2']
7419d454	오해를 받는 그 기분이 \n 어떤지 알 것 같아요.	[0, 25, 'AsiaJMR_2']
7d61d65a	단지 모두에게 \n 진실을 보여주고 \n 싶었던 건데.	[0, 24, 'AsiaJMR_2']
7fea76e6	하지만… \n 아무것도 아니에요.	[0, 15, 'AsiaJMR_2']
909898ee	가짜가 아냐! 이 소녀가 \n 반대편 세계에서 \n 직접 찍어온 거다.	[0, 33, 'AsiaJMR_2']
99e09af4	이런 어린 아이까지 \n 동원해 가짜 이야기를 \n 만드는 거야?	[0, 30, 'AsiaJMR_2']
a2289dfa	아가씨, 당신도 \n 억지로 편을 \n 들어줄 필요는 없어.	[0, 27, 'AsiaJMR_2']
ab709f	엥? 아뇨, 아저씨 말은 \n 진짜인데요.	[0, 20, 'AsiaJMR_2']
bcf0b576	와아, 다른 세계라니. \n 나도 가보고 싶어!	[0, 23, 'AsiaJMR_2']
c538b87c	이것 봐. \n 이 아이에게 \n 이상한 영향을 줬잖아.	[0, 25, 'AsiaJMR_2']
d02fcabc	그거 좋구나!	[0, 7, 'AsiaJMR_2']
d977ccc2	저도 도우면서 \n 재미있었어요! \n 언젠가 또 조사해요.	[0, 27, 'AsiaJMR_2']
e2bfcec8	언젠가는, 모두가 \n 진실을 알게 되겠지.	[0, 21, 'AsiaJMR_2']
e6dfa672	이제껏 말하던 그대로다! \n 중력풍 너머에는 \n 다른 세계가 있어!	[0, 33, 'AsiaJMR_2']
eb07d1ce	됐어, 최소한 이걸로 \n 오랜 세월 추적하던 \n 진실을 밝혀냈으니.	[0, 33, 'AsiaJMR_2']
sm28_00100k_010	주변 사람들은 \n 전부 나를 미치광이 \n 취급을 하지.	[0, 26, 'AsiaJMR_2']
sm28_00100k_020	하지만 난 멀쩡해. \n 넌 내 말을 믿어주겠니? \n 중력풍 너머에는 \n 다른 세계가 있어.	[0, 44, 'AsiaJMR_2']
sm28_00100k_030	믿어요! \n 왜냐면 제가 \n 직접 보고 왔는 걸요.	[0, 24, 'AsiaJMR_2']
sm28_00100k_040	저, 정말!? \n 중력풍 너머에서 \n 돌아온 존재라고?	[0, 26, 'AsiaJMR_2']
sm28_00100k_050	네, 아저씨도 \n 갔다 온 거예요?	[0, 17, 'AsiaJMR_2']
sm28_00100k_060	아니, 내 아버지께서 \n 그랬지. 마치 \n 기적과도 같이 \n 살아 돌아오셨지!	[0, 37, 'AsiaJMR_2']
sm28_00100k_063	아버지는 돌아가시기 \n 전에, 내게 저쪽 편의 \n 세계에 대해 \n 이야기를 해주셨지.	[0, 41, 'AsiaJMR_2']
sm28_00100k_066	나는 깜짝 놀랐지. \n 그 이야기를 모두에게 \n 전해주지 않을 수 없었어.	[0, 37, 'AsiaJMR_2']
sm28_00100k_070	그렇지만 아무도 \n 내 이야기를 \n 믿어주지 않았어.	[0, 25, 'AsiaJMR_2']
sm28_00100k_080	이후 나는 이론을 증명하고자 \n 중력풍에 다양한 물건들을 \n 던져넣기 시작했고	[0, 39, 'AsiaJMR_2']
sm28_00100k_090	그러다가, 무전 통신기를 \n 넣어보겠다는 생각이 \n 문득 떠올랐지.	[0, 33, 'AsiaJMR_2']
sm28_00100k_100	그러자 어떤 통신이 \n 들어온 줄 알아? \n 기묘한 노이즈였어.	[0, 31, 'AsiaJMR_2']
sm28_00100k_110	그 통신기는 설마 \n 채굴지에 떨어진 건가?	[0, 22, 'AsiaJMR_2']
sm28_00100k_120	채굴자 중 한 명이 \n 무전기를 주워서 \n 응답한 걸지도 몰라요.	[0, 32, 'AsiaJMR_2']
sm28_00100k_130	채굴자!? \n 중력풍 너머의 세계에는 \n 채굴자가 있는 거니?	[0, 30, 'AsiaJMR_2']
sm28_00100k_140	그렇지… 헥사빌의 \n 사람들은 채굴에 대해서 \n 전혀 모르는구나.	[0, 32, 'AsiaJMR_2']
sm28_00100k_150	나는 중력풍 너머의 \n 세계에 대해서 \n 더 알고 싶어.	[0, 27, 'AsiaJMR_2']
sm28_00100k_160	부탁해, \n 나를 도와 조사를 \n 해주겠니?	[0, 20, 'AsiaJMR_2']
sm28_00200k_010	우리가 알아볼 것은 \n 저 중력풍 너머에 \n 과연 무엇이 \n 있는가에 대해서야.	[0, 38, 'AsiaJMR_2']
sm28_00200k_020	하지만… 그런 복장으로 \n 중력풍에 들어가도 \n 문제없는 거니?	[0, 31, 'AsiaJMR_2']
sm28_00200k_030	전 중력술사니까요. \n 괜찮아요!	[0, 16, 'AsiaJMR_2']
sm28_00200k_040	너랑 만나서 \n 정말 다행이구나!	[0, 16, 'AsiaJMR_2']
sm28_00200k_050	자, 이 무전기를 받아라.	[0, 14, 'AsiaJMR_2']
sm28_00200k_060	그럼 밑으로 내릴게.	[0, 11, 'AsiaJMR_2']
sm28_00300k_010	어때, 뭐가 보이니?	[0, 11, 'AsiaJMR_2']
sm28_00300k_020	으음…	[0, 3, 'AsiaJMR_2']
sm28_00300k_030	여기는 자갈 채굴장이잖아!	[0, 14, 'AsiaJMR_2']
sm28_00300k_040	헥사빌과 이곳이 \n 그 중력풍으로 \n 연결되어 있었어!	[0, 26, 'AsiaJMR_2']
sm28_00300k_050	전에 가본 곳이니? \n 안전하다면, \n 주변을 조사해주겠어?	[0, 29, 'AsiaJMR_2']
sm28_00300k_060	주변에 \n 뭐가 있니?	[0, 10, 'AsiaJMR_2']
sm28_00300k_070	여기 있는 건 \n 중력광뿐이에요.	[0, 16, 'AsiaJMR_2']
sm28_00300k_080	그게 뭐지? \n 사진기를 가지고 있다면, \n 촬영해줄 수 있겠나?	[0, 32, 'AsiaJMR_2']
