Reference Name	Text	Font
dm05_00010	Gade : \n Comment cela a-t-il pu se produire ?	[0, 7, 'DINRoundOffcPro'], [7, 43, 'DINRoundOffcPro']
dm05_00015	Cyanea : \n J'ai du mal à maintenir ma forme !	[0, 9, 'DINRoundOffcPro'], [9, 43, 'DINRoundOffcPro']
dm05_00100	Rassemble les souvenirs perdus	[0, 30, 'DINRoundOffcPro']
dm05_00100c_010	...	[0, 3, 'DINRoundOffcPro']
dm05_00100c_020	Bonjour, Raven. Je suis \n heureuse de te voir \n saine et sauve.	[0, 59, 'DINRoundOffcPro']
dm05_00100c_030	Il s'en est fallu de peu, \n n'est-ce pas ? Tu as \n failli te retrouver prise \n au piège.	[0, 82, 'DINRoundOffcPro']
dm05_00100c_040	Il semblerait qu'une erreur \n inattendue soit apparue.	[0, 52, 'DINRoundOffcPro']
dm05_00100c_050	Mais nous n'avons pas le \n temps de nous en \n occuper pour le moment.	[0, 65, 'DINRoundOffcPro']
dm05_00100c_060	Argh !	[0, 6, 'DINRoundOffcPro']
dm05_00100c_070	Avec les éléments de la lumière \n et des ténèbres récupérés, \n nous pouvons retourner \n sur l'Arche et-	[0, 97, 'DINRoundOffcPro']
dm05_00100c_080	Aah !	[0, 5, 'DINRoundOffcPro']
dm05_00100c_090	Ils ont disparu.	[0, 16, 'DINRoundOffcPro']
dm05_00100c_100	Impossible ! Tu as fait \n une erreur quelque part ?	[0, 49, 'DINRoundOffcPro']
dm05_00100c_110	Il y a un problème \n avec le rêve...	[0, 34, 'DINRoundOffcPro']
dm05_00100c_120	Hm ?	[0, 4, 'DINRoundOffcPro']
dm05_00100c_130	Hic !	[0, 5, 'DINRoundOffcPro']
dm05_00100c_140	Gah.	[0, 4, 'DINRoundOffcPro']
dm05_00100c_150	Euggh.	[0, 6, 'DINRoundOffcPro']
dm05_00100c_160	Ce n'était pas réel...	[0, 22, 'DINRoundOffcPro']
dm05_00100c_170	On nous a trompés.	[0, 18, 'DINRoundOffcPro']
dm05_00100c_180	Les Créateurs se sont \n fait voler leur pouvoir.	[0, 46, 'DINRoundOffcPro']
dm05_00100c_190	Je vais devoir le \n sceller à nouveau, \n dans ce cas.	[0, 49, 'DINRoundOffcPro']
dm05_00100c_200	Je refuse d'abandonner \n les enfants !	[0, 36, 'DINRoundOffcPro']
dm05_00101	C'est un de mes souvenirs.	[0, 26, 'DINRoundOffcPro']
dm05_00102	Retrouver mes souvenirs ne va pas être facile avec ces deux-là.	[0, 63, 'DINRoundOffcPro']
dm05_00103	Si je veux les récupérer, je vais devoir les affronter.	[0, 55, 'DINRoundOffcPro']
dm05_00104	Je me souviens de tout.	[0, 23, 'DINRoundOffcPro']
dm05_00105	Je commence à me rappeler de certaines choses...	[0, 48, 'DINRoundOffcPro']
dm05_00106	C'est le moment de retrouver mes souvenirs.	[0, 43, 'DINRoundOffcPro']
dm05_00107	Je n'ai d'autre choix que de me battre.	[0, 39, 'DINRoundOffcPro']
dm05_00108	Je dois retrouver mes souvenirs si je veux sauver Lolo.	[0, 55, 'DINRoundOffcPro']
dm05_00109	J'étais tellement seule quand je suis revenue à Hekseville...	[0, 61, 'DINRoundOffcPro']
dm05_00110	À fouiller les poubelles, à dormir dans la rue...	[0, 49, 'DINRoundOffcPro']
dm05_00110k_002	Lumino de la lumière. \n Tenebria des ténèbres. \n Qu'est-ce que vous \n cherchez, au juste ?	[0, 84, 'DINRoundOffcPro']
dm05_00110k_004	Ce que tout le monde \n veut : la liberté. \n Personne ne pourra \n plus m'enfermer !	[0, 76, 'DINRoundOffcPro']
dm05_00110k_006	Je veux simplement que \n ces humains répugnants \n me laissent tranquille.	[0, 69, 'DINRoundOffcPro']
dm05_00110k_008	Hmm, passer un accord \n est donc hors de \n question, je suppose.	[0, 60, 'DINRoundOffcPro']
dm05_00110k_010	S'ils veulent encore \n qu'on se tape dessus, \n alors on va \n se taper dessus.	[0, 71, 'DINRoundOffcPro']
dm05_00110k_020	Raven, attends. \n Tu n'as pas ce qu'il \n faut pour les vaincre.	[0, 59, 'DINRoundOffcPro']
dm05_00110k_030	Tous les facteurs ne \n sont pas en place. \n Il y a un problème \n de synchronisation.	[0, 78, 'DINRoundOffcPro']
dm05_00110k_040	De synchronisation ? \n Qu'est-ce que \n ça veut dire ?	[0, 49, 'DINRoundOffcPro']
dm05_00110k_050	Il y a une chose à \n remettre dans l'état où \n elle se trouvait avant \n l'expérience.	[0, 79, 'DINRoundOffcPro']
dm05_00110k_060	Et cette chose, \n c'est toi. \n Tu es incomplète.	[0, 44, 'DINRoundOffcPro']
dm05_00110k_070	Tes derniers souvenirs \n perdus se trouvent ici, \n dans cette ville.	[0, 64, 'DINRoundOffcPro']
dm05_00110k_080	Trouve le reste de tes \n souvenirs, souviens-toi \n de qui tu es.	[0, 60, 'DINRoundOffcPro']
dm05_00111	J'étais si faible. Et puis j'ai rencontré Poussette...	[0, 54, 'DINRoundOffcPro']
dm05_00112	Avec Poussette, j'ai appris à inverser la gravité. \n J'ai appris à survivre.	[0, 74, 'DINRoundOffcPro']
dm05_00113	J'ai laissé Sachya derrière moi, et je suis devenue Raven.	[0, 58, 'DINRoundOffcPro']
dm05_00114	Neutralise Lumino et Tenebria	[0, 29, 'DINRoundOffcPro']
dm05_00115	Souvenirs perdus	[0, 16, 'DINRoundOffcPro']
dm05_00116	Je dois retrouver mes souvenirs.	[0, 32, 'DINRoundOffcPro']
dm05_00117	Bit : \n Fais attention, ils ne vont pas y aller de main morte.	[0, 6, 'DINRoundOffcPro'], [6, 60, 'DINRoundOffcPro']
dm05_00118	Bit : \n Retrouve tes souvenirs avant qu'il ne soit trop tard.	[0, 6, 'DINRoundOffcPro'], [6, 59, 'DINRoundOffcPro']
dm05_00119	La lumière... Elle me guidera sûrement vers un de mes souvenirs.	[0, 64, 'DINRoundOffcPro']
dm05_00120	C'est le moment de retrouver mes souvenirs !	[0, 44, 'DINRoundOffcPro']
dm05_00120k_010	Les souvenirs d'ici sont \n ceux du moment où j'ai \n abandonné Sachya pour \n devenir Raven.	[0, 84, 'DINRoundOffcPro']
dm05_00120k_020	Et du moment où tu as \n rencontré l'autre \n Gravitéenne.	[0, 52, 'DINRoundOffcPro']
dm05_00120k_030	Tu dois te rappeler \n du reste. Trouve \n tous tes autres \n souvenirs.	[0, 63, 'DINRoundOffcPro']
dm05_00121	Je dois me dépêcher et me rappeler de qui je suis.	[0, 50, 'DINRoundOffcPro']
dm05_00130	J'ai entendu une voix m'appeler lorsque j'ai rencontré Poussette.	[0, 65, 'DINRoundOffcPro']
dm05_00131	Elle ressemblait tellement à sa voix.	[0, 37, 'DINRoundOffcPro']
dm05_00132	Même lors de notre première rencontre, \n c'est comme si je la connaissais déjà.	[0, 77, 'DINRoundOffcPro']
dm05_00150k_010	Tu crois vraiment \n pouvoir me vaincre ?	[0, 38, 'DINRoundOffcPro']
dm05_00150k_020	Tu n'es pas assez forte \n pour me prendre \n mon pouvoir.	[0, 52, 'DINRoundOffcPro']
dm05_00150k_030	Qu'est-ce qu'elle \n veut dire ?!	[0, 30, 'DINRoundOffcPro']
dm05_00150k_040	Tu n'as pas \n la puissance nécessaire \n pour l'arrêter. \n Elle reviendra.	[0, 67, 'DINRoundOffcPro']
dm05_00155k_010	Tu croyais vraiment \n m'avoir vaincue ?	[0, 37, 'DINRoundOffcPro']
dm05_00155k_020	Elle est encore là ?!	[0, 21, 'DINRoundOffcPro']
dm05_00155k_030	Tu vas devoir trouver \n le moyen de les \n arrêter définitivement.	[0, 61, 'DINRoundOffcPro']
dm05_00160k_010	J'admire ton courage.	[0, 21, 'DINRoundOffcPro']
dm05_00160k_020	Mais il faudra plus que \n ça pour m'arrêter !	[0, 43, 'DINRoundOffcPro']
dm05_00160k_030	Il va revenir \n sans arrêt, c'est ça ?	[0, 36, 'DINRoundOffcPro']
dm05_00160k_040	J'en ai bien peur. \n Tu n'as pas encore \n la puissance nécessaire \n pour l'arrêter.	[0, 77, 'DINRoundOffcPro']
dm05_00165k_010	Impressionnant !	[0, 16, 'DINRoundOffcPro']
dm05_00165k_020	Mais ce ne sera pas \n suffisant pour \n me battre.	[0, 45, 'DINRoundOffcPro']
dm05_00165k_030	Il est encore là ?!	[0, 19, 'DINRoundOffcPro']
