Reference Name	Text	Font
sm34_00100	我得發光那些傳單…	[0, 9, 'DFT_R5']
sm34_00100k_010	等等… \n 你不是重力公主嗎！？	[0, 14, 'DFT_R5']
sm34_00100k_020	是，你好…。	[0, 6, 'DFT_R5']
sm34_00100k_030	你回來啦！ \n 正好，我需要你幫個忙。	[0, 17, 'DFT_R5']
sm34_00100k_040	要幫什麼忙呢？	[0, 7, 'DFT_R5']
sm34_00100k_050	宣傳我的店！ \n 我印了一大堆 \n 很潮的傳單。	[0, 20, 'DFT_R5']
sm34_00100k_060	哇！ \n 的確蠻酷的。	[0, 9, 'DFT_R5']
sm34_00100k_070	如果我要打響名號， \n 就得特別才行。	[0, 17, 'DFT_R5']
sm34_00100k_080	請你用那個 \n 操控重力的能力 \n 幫我把它們發出去…	[0, 23, 'DFT_R5']
sm34_00100k_090	這就是你要我幫的忙？	[0, 10, 'DFT_R5']
sm34_00100k_100	我連制服都準備好了…	[0, 10, 'DFT_R5']
sm34_00100k_110	別說出去哦， \n 只有像你這麼可愛的人 \n 才能辦到。	[0, 23, 'DFT_R5']
sm34_00100k_120	這個嘛， \n 既然你都這麼說了…	[0, 14, 'DFT_R5']
sm34_00100k_130	好的，我來幫忙！ \n 把傳單給我。	[0, 15, 'DFT_R5']
sm34_00101	發傳單給路人！	[0, 7, 'DFT_YY6']
sm34_00102	剩餘傳單	[0, 4, 'DFT_R5']
sm34_00103	店主： \n 去發給其他店的排隊人潮。	[0, 4, 'DFT_R5'], [4, 16, 'DFT_R5']
sm34_00104	感覺永遠都發不完…	[0, 9, 'DFT_R5']
sm34_00105	終於發完一半了！	[0, 8, 'DFT_R5']
sm34_00106	只剩幾張了…	[0, 6, 'DFT_R5']
sm34_00107	這張給你！	[0, 5, 'DFT_R5']
sm34_00108	請收下吧！	[0, 5, 'DFT_R5']
sm34_00109	特別開幕大拍賣！	[0, 8, 'DFT_R5']
sm34_00110	超值又划算喔！	[0, 7, 'DFT_R5']
sm34_00110k_010	盡快把它們發給 \n 在鬧區通勤的人。	[0, 16, 'DFT_R5']
sm34_00110k_020	如果我聽到哪裡有人潮， \n 就會用對講機通知你。	[0, 22, 'DFT_R5']
sm34_00110k_030	好的！ \n 我出發了。	[0, 9, 'DFT_R5']
sm34_00111	給你一張！不看可惜喔！	[0, 11, 'DFT_R5']
sm34_00200k_010	傳單都發完囉。	[0, 7, 'DFT_R5']
sm34_00200k_020	不愧是重力公主！ \n 太厲害了！	[0, 14, 'DFT_R5']
sm34_00200k_030	從剛剛店裡就突然湧進了 \n 好多新顧客呢。	[0, 19, 'DFT_R5']
sm34_00200k_040	都虧你發的傳單超有效率！	[0, 12, 'DFT_R5']
sm34_00200k_050	真的耶， \n 人好多啊！	[0, 10, 'DFT_R5']
sm34_00200k_060	我的店鐵定成功無誤！	[0, 10, 'DFT_R5']
sm34_00200k_070	這是麻煩你的謝禮。 \n 有多加了一些喔。	[0, 18, 'DFT_R5']
sm34_00200k_080	哇，謝謝你！	[0, 6, 'DFT_R5']
sm34_00200k_090	嘿，不知道 \n 如果還要幫忙的話， \n 這套制服可不可以送我？	[0, 27, 'DFT_R5']
sm34_00300k_010	傳單都發完囉。	[0, 7, 'DFT_R5']
sm34_00300k_020	太感謝你了！	[0, 6, 'DFT_R5']
sm34_00300k_030	有你幫忙， \n 店門前排滿了顧客呢。	[0, 16, 'DFT_R5']
sm34_00300k_040	這樣一定會成功的。	[0, 9, 'DFT_R5']
sm34_00300k_050	來， \n 這是麻煩你的一點謝禮。	[0, 14, 'DFT_R5']
sm34_00300k_060	哇，謝謝你！	[0, 6, 'DFT_R5']
sm34_00300k_070	嘿，不知道 \n 如果還要幫忙的話， \n 這套制服可不可以送我？	[0, 27, 'DFT_R5']
sm34_00400k_010	傳單都發完囉。	[0, 7, 'DFT_R5']
sm34_00400k_020	這麼久…	[0, 4, 'DFT_R5']
sm34_00400k_030	你在路上摸魚 \n 還是怎麼了嗎？	[0, 14, 'DFT_R5']
sm34_00400k_040	我沒有「摸魚」， \n 我是很認真看待 \n 助人這件事的。	[0, 24, 'DFT_R5']
sm34_00400k_050	這只是工作 \n 比想像中還辛苦呢…	[0, 15, 'DFT_R5']
sm34_00400k_060	唉，算了。 \n 至少有多幾個新顧客…	[0, 16, 'DFT_R5']
sm34_00400k_070	這是麻煩你的一點謝禮。	[0, 11, 'DFT_R5']
sm34_00400k_080	謝謝，那我告辭了。	[0, 9, 'DFT_R5']
sm34_00400k_090	嘿，不知道 \n 如果還要幫忙的話， \n 這套制服可不可以送我？	[0, 27, 'DFT_R5']
