Reference Name	Text	Font
00468e2b	내가 좋아하는 것, 내가 싫어하는 것	[0, 20, 'Korean for MaruFolkPro']
0063c269	마을을 향해	[0, 6, 'Korean for MaruFolkPro']
006d2943	가스통	[0, 3, 'Korean for MaruFolkPro']
00724e9d	내리막길	[0, 4, 'Korean for MaruFolkPro']
008f8d2f	탤리스먼: "낚시꾼의 레시피"	[0, 16, 'Korean for MaruFolkPro']
0095956c	합성한 탤리스먼으로 옮기고 싶은 \n 능력을 세 개 선택하세요.	[0, 32, 'Korean for MaruFolkPro']
01059121	심도 7	[0, 4, 'Korean for MaruFolkPro']
010e2838	사과가	[0, 3, 'Korean for MaruFolkPro']
0123a81a	계속하기	[0, 4, 'Korean for MaruFolkPro']
01278b62	배달부가 도시의 독자들에게 \n 신문 배달의 도움이 필요하다 합니다	[0, 34, 'Korean for MaruFolkPro']
0128e3fd	화이트 캣	[0, 5, 'Korean for MaruFolkPro']
013b274b	특수 사진 아이템 #3	[0, 12, 'Korean for MaruFolkPro']
0140296b	탤리스먼	[0, 4, 'Korean for MaruFolkPro']
014f3085	"PSO2 청색 컨테이너"를 획득했습니다! \n l를 눌러 사진 모드에 들어가 사용할 수 있습니다.	[0, 24, 'Korean for MaruFolkPro'], [24, 25, 'Gravity2_Gaiji'], [25, 52, 'Korean for MaruFolkPro']
016557df	환락가 "플레쥐느" \n 아르케뷔스 학교 근처의 다리에 서 있는 여자.	[0, 36, 'Korean for MaruFolkPro']
01659d38	공포의 보수	[0, 6, 'Korean for MaruFolkPro']
01838fa6	군중	[0, 2, 'Korean for MaruFolkPro']
01862e67	"헤드 기어를 착용하지 않은 니어 오토마타 2B를 획득했습니다"! \n l를 눌러 사진 모드에 들어가 사용할 수 있습니다.	[0, 37, 'Korean for MaruFolkPro'], [37, 38, 'Gravity2_Gaiji'], [38, 65, 'Korean for MaruFolkPro']
0187d605	심도 14	[0, 5, 'Korean for MaruFolkPro']
01901083	편히 쉬기	[0, 5, 'Korean for MaruFolkPro']
01a0418a	"특수 사진 아이템 #9"을 획득했습니다! \n l를 눌러 사진 모드에 들어가 사용할 수 있습니다.	[0, 24, 'Korean for MaruFolkPro'], [24, 25, 'Gravity2_Gaiji'], [25, 52, 'Korean for MaruFolkPro']
01b370e8	심도 7	[0, 4, 'Korean for MaruFolkPro']
01d9ea5f	특수 사진 아이템 #3	[0, 12, 'Korean for MaruFolkPro']
01f59ed8	e 능력 분류    c 즐겨찾기    d 삭제 메뉴    f 탤리스먼 보관함    p 완료	[0, 1, 'Gravity2_Gaiji'], [1, 11, 'Korean for MaruFolkPro'], [11, 12, 'Gravity2_Gaiji'], [12, 21, 'Korean for MaruFolkPro'], [21, 22, 'Gravity2_Gaiji'], [22, 32, 'Korean for MaruFolkPro'], [32, 33, 'Gravity2_Gaiji'], [33, 46, 'Korean for MaruFolkPro'], [46, 47, 'Gravity2_Gaiji'], [47, 50, 'Korean for MaruFolkPro']
0201fab5	시련과 길	[0, 5, 'Korean for MaruFolkPro']
0203792f	개인 정보 요구	[0, 8, 'Korean for MaruFolkPro']
0228f65e	환락가 "플레쥐느" \n 만취한 코끼리 대문	[0, 21, 'Korean for MaruFolkPro']
022a77f4	심도 41	[0, 5, 'Korean for MaruFolkPro']
02376368	새로운 방송 문자열	[0, 10, 'Korean for MaruFolkPro']
023d97c4	심도 34	[0, 5, 'Korean for MaruFolkPro']
025df376	이상 중력 작용 현상 발견	[0, 14, 'Korean for MaruFolkPro']
028ea8c9	심도 81	[0, 5, 'Korean for MaruFolkPro']
029554ab	콤보 공격 및 \n 스타일 특화 킥이 \n 강화됩니다.	[0, 24, 'Korean for MaruFolkPro']
02c34025	스토리 진행도	[0, 7, 'Korean for MaruFolkPro']
02deb3aa	중력 잡기 전투	[0, 8, 'Korean for MaruFolkPro']
030aeb58	대결	[0, 2, 'Korean for MaruFolkPro']
032633fe	부드러운	[0, 4, 'Korean for MaruFolkPro']
0328a235	수면의 파문	[0, 6, 'Korean for MaruFolkPro']
039e4f64	훌륭한 셸 스톤	[0, 8, 'AsiaJMR_2']
03c8d584	네	[0, 1, 'Korean for MaruFolkPro']
03d27169	심도 20	[0, 5, 'Korean for MaruFolkPro']
03db95b5	건망증 보디가드	[0, 8, 'Korean for MaruFolkPro']
03e34b71	여자의 초상 5	[0, 8, 'Korean for MaruFolkPro']
03f69d6b	선 맨션	[0, 4, 'Korean for MaruFolkPro']
03f779e5	주피터 스타일	[0, 7, 'Korean for MaruFolkPro']
0407e53f	풍부한 채굴지	[0, 7, 'Korean for MaruFolkPro']
045bd811	헥사빌 명소 5	[0, 8, 'Korean for MaruFolkPro']
046f618d	슬라이드 레이스 1	[0, 10, 'Korean for MaruFolkPro']
0475b6f6	함께라니, 너무나 이상해	[0, 13, 'Korean for MaruFolkPro']
049a3a01	코스튬	[0, 3, 'Korean for MaruFolkPro']
04c04344	델불 심층 조난 신호	[0, 11, 'Korean for MaruFolkPro']
04c2a1a5	눈물 맺음	[0, 5, 'Korean for MaruFolkPro']
04c49b73	중력 방어 스카이타워 잔해	[0, 14, 'Korean for MaruFolkPro']
04fcc698	달라진 태도	[0, 6, 'Korean for MaruFolkPro']
05429320	심도 18	[0, 5, 'Korean for MaruFolkPro']
05518e32	푸른 하늘의 집	[0, 8, 'Korean for MaruFolkPro']
0557c251	내재한 어둠	[0, 6, 'Korean for MaruFolkPro']
056ec270	방랑 화가	[0, 5, 'Korean for MaruFolkPro']
0578294a	대형 화분	[0, 5, 'Korean for MaruFolkPro']
0583fb22	삭제	[0, 2, 'Korean for MaruFolkPro']
05a09573	다섯 개의 탤리스먼을 배치하세요. \n 재생을 통해 \n 하나가 새롭게 만들어집니다.	[0, 41, 'Korean for MaruFolkPro']
05afdc2d	올드느와르	[0, 5, 'Korean for MaruFolkPro']
05c33066	"중력술사 1.0"을 획득했습니다! \n l를 눌러 사진 모드에 들어가 사용할 수 있습니다.	[0, 20, 'Korean for MaruFolkPro'], [20, 21, 'Gravity2_Gaiji'], [21, 48, 'Korean for MaruFolkPro']
05d1d6c6	모션 감도	[0, 5, 'Korean for MaruFolkPro']
05f072e7	심도 18	[0, 5, 'Korean for MaruFolkPro']
0625ecdf	Episode 3	[0, 9, 'Korean for MaruFolkPro']
062988be	심도 52	[0, 5, 'Korean for MaruFolkPro']
064041d3	전설은 태어나는 것	[0, 10, 'Korean for MaruFolkPro']
0643a273	회피	[0, 2, 'Korean for MaruFolkPro']
066779f3	심도 78	[0, 5, 'Korean for MaruFolkPro']
067a99c3	심도 27	[0, 5, 'Korean for MaruFolkPro']
067afaf0	파이프 하우스	[0, 7, 'Korean for MaruFolkPro']
068d0586	사진 확인	[0, 5, 'Korean for MaruFolkPro']
06c556e9	심도 92	[0, 5, 'Korean for MaruFolkPro']
06c5efad	사진 아이템을 획득했습니다: \n "월간 게이머즈"	[0, 25, 'Korean for MaruFolkPro']
070cfabc	마치 라디오처럼	[0, 8, 'Korean for MaruFolkPro']
071971d0	챌린지 수락	[0, 6, 'Korean for MaruFolkPro']
07358cf6	나무틀 거울	[0, 6, 'Korean for MaruFolkPro']
07361ebd	d 랭킹    p 내비게이션 마커 제거    r 게임으로 돌아가기	[0, 1, 'Gravity2_Gaiji'], [1, 8, 'Korean for MaruFolkPro'], [8, 9, 'Gravity2_Gaiji'], [9, 25, 'Korean for MaruFolkPro'], [25, 26, 'Gravity2_Gaiji'], [26, 36, 'Korean for MaruFolkPro']
0768f37d	보물 찾기 보고	[0, 8, 'Korean for MaruFolkPro']
0787cdc9	구시가지 "올드느와르" \n 우체국의 우편함 근처에 잠시 멈춰선 남자.	[0, 36, 'Korean for MaruFolkPro']
078ba7c7	검은 고양이	[0, 6, 'Korean for MaruFolkPro']
07ce402c	실종	[0, 2, 'Korean for MaruFolkPro']
07e9b3b1	공격적 영업 전략 2	[0, 11, 'Korean for MaruFolkPro']
07f33f40	보내기	[0, 3, 'Korean for MaruFolkPro']
07febddb	마을의 명물	[0, 6, 'Korean for MaruFolkPro']
08271f66	아무 버튼이나 누르세요	[0, 12, 'Korean for MaruFolkPro']
084223dc	사가시의 그림: 헥사빌 6	[0, 14, 'Korean for MaruFolkPro']
088c94f3	프리스타일 레이스 1	[0, 11, 'Korean for MaruFolkPro']
08ae4b67	신비경	[0, 3, 'Korean for MaruFolkPro']
08b2b8f5	기쁨의 기계	[0, 6, 'Korean for MaruFolkPro']
08bd5bbf	가출한 자식의 후일담	[0, 11, 'Korean for MaruFolkPro']
08d73c	파워업	[0, 3, 'Korean for MaruFolkPro']
08dbb3bf	이 탤리스먼은 현재 장비 중입니다. \n 그래도 선택하시겠습니까?	[0, 33, 'Korean for MaruFolkPro']
08dd7170	심도 29	[0, 5, 'Korean for MaruFolkPro']
08e695bc	탕아	[0, 2, 'Korean for MaruFolkPro']
090d4d01	최신 히트곡	[0, 6, 'Korean for MaruFolkPro']
090e8ecd	소설 작가를 찾는 편집자를 도와줘야 합니다. \n 인물의 사진과 소설 개요를 단서로 삼아, \n 영감을 얻기 위해 변장하고 도시를 \n 떠도는 작가를 찾아내야 합니다.	[0, 84, 'Korean for MaruFolkPro']
092ead26	세계를 움직이는 것은 돈	[0, 13, 'Korean for MaruFolkPro']
093da591	심도 87	[0, 5, 'Korean for MaruFolkPro']
0953a5d3	스토리미션	[0, 5, 'Korean for MaruFolkPro']
095941e0	k 누르기: 팬서 모드 발동	[0, 1, 'Gravity2_Gaiji'], [1, 15, 'Korean for MaruFolkPro']
0969dcd9	메리트솔 사의 사과 랜드마크 \n 상징적인 랜드마크가 된 회사의 로고이다.	[0, 38, 'Korean for MaruFolkPro']
096ed970	심도 21	[0, 5, 'Korean for MaruFolkPro']
09bfea75	심도 94	[0, 5, 'Korean for MaruFolkPro']
09c0c54e	밝은 셸 스톤	[0, 7, 'AsiaJMR_2']
09e3f779	강인한 팔	[0, 5, 'Korean for MaruFolkPro']
09eb8458	심도 87	[0, 5, 'Korean for MaruFolkPro']
09fccb4b	슬라이드 레이스 1	[0, 10, 'Korean for MaruFolkPro']
0a4d9327	심도 11	[0, 5, 'Korean for MaruFolkPro']
0a60dc48	빛나는 플라워 스톤	[0, 10, 'Korean for MaruFolkPro']
0a647423	시스템 데이터 불러오기 실패. \n 재시도 하시겠습니까?	[0, 28, 'AsiaJMR_2']
0a720eb4	기계에 대한 반란	[0, 9, 'Korean for MaruFolkPro']
0a7266fb	빛과 그림자	[0, 6, 'Korean for MaruFolkPro']
0a79c277	공포의 보수	[0, 6, 'Korean for MaruFolkPro']
0a832951	신호기	[0, 3, 'Korean for MaruFolkPro']
0a8efb29	999개의 탤리스먼을 소지 중입니다. 여분을 삭제해주세요.	[0, 32, 'Korean for MaruFolkPro']
0aa58d3d	코스튬: 중력술사 1.0	[0, 13, 'Korean for MaruFolkPro']
0acb91ac	시련과 길	[0, 5, 'Korean for MaruFolkPro']
0ad81289	사과	[0, 2, 'Korean for MaruFolkPro']
0afb72ee	심도 11	[0, 5, 'Korean for MaruFolkPro']
0b0ad254	새로운 지네	[0, 6, 'Korean for MaruFolkPro']
0b120fbc	중력 슬라이드 전용 레이스. \n 슬라이드로 시간 안에 목적지에 도착하세요.	[0, 39, 'Korean for MaruFolkPro']
0b30ece6	Episode 8	[0, 9, 'Korean for MaruFolkPro']
0b3488c5	심도 59	[0, 5, 'Korean for MaruFolkPro']
0b48fa39	컬렉션 사진을 획득했습니다!	[0, 15, 'Korean for MaruFolkPro']
0b552f82	더스티 토큰 보상	[0, 9, 'Korean for MaruFolkPro']
0b5673cf	나가기	[0, 3, 'Korean for MaruFolkPro']
0b7279fa	심도 73	[0, 5, 'Korean for MaruFolkPro']
0bac6cba	시장의 거처	[0, 6, 'Korean for MaruFolkPro']
0bd056f0	최심부	[0, 3, 'Korean for MaruFolkPro']
0bd0efb4	사진 아이템을 획득했습니다: \n "특수 사진 아이템 #5"	[0, 30, 'Korean for MaruFolkPro']
0c1a746f	심도 50	[0, 5, 'Korean for MaruFolkPro']
0c2760e3	내가 보낸 힌트를 통해 \n 보물이 발견되었습니다!	[0, 25, 'Korean for MaruFolkPro']
0c3d3df9	끄기	[0, 2, 'Korean for MaruFolkPro']
0c4d457c	중력풍 발생 중	[0, 8, 'Korean for MaruFolkPro']
0c70a43b	또다시 홀로	[0, 6, 'Korean for MaruFolkPro']
0c7a729f	기대와는 달리 가게가 한산합니다. \n 중력 잡기로 손님들을 끌어들여야 합니다.	[0, 41, 'Korean for MaruFolkPro']
0c7a83	선상의 소문	[0, 6, 'Korean for MaruFolkPro']
0c7ea544	심도 90	[0, 5, 'Korean for MaruFolkPro']
0c9fc130	더스티 토큰 5,000개를 수집한 보상으로 \n 새로운 코스튬 "중력술사 1.0"을 획득했습니다! \n l를 눌러 사진 모드에 들어가 사용할 수 있습니다. \n 시스템 메뉴에서 더스티 토큰의 개수를 확인할 수 있습니다.	[0, 52, 'Korean for MaruFolkPro'], [52, 53, 'Gravity2_Gaiji'], [53, 113, 'Korean for MaruFolkPro']
0caf622a	에피소드 3	[0, 6, 'Korean for MaruFolkPro']
0cf1f630	말이 항상 문제야	[0, 9, 'Korean for MaruFolkPro']
0d0c9e79	하비나 터미널	[0, 7, 'Korean for MaruFolkPro']
0d2463fd	거래 성사	[0, 5, 'Korean for MaruFolkPro']
0d321f6d	©2017 Sony Interactive Entertainment Inc.	[0, 41, 'HelveticaNeueLTStd-Th']
